ID,TextureType,Layer,Flags,BlendMode,TextureSectionTypeBitMask,TextureSectionTypeBitMask2,Field_9_0_1_34365_006[0],Field_9_0_1_34365_006[1],Field_9_0_1_34365_006[2],ChrModelTextureTargetID[0],ChrModelTextureTargetID[1],CharComponentTextureLayoutsID
3,1,3,0,15,512,-1,0,0,0,4,0,2
4,1,4,0,15,1024,-1,0,0,0,5,0,2
5,1,7,0,15,8,-1,0,0,0,14,0,2
6,1,8,0,15,1024,-1,0,0,0,11,0,2
8,1,5,0,9,4096,-1,0,0,0,16,0,2
9,1,6,0,15,32,-1,0,0,0,13,0,2
10,8,1,0,1,-1,-1,0,0,0,2,0,2
11,6,2,0,1,-1,-1,0,0,0,10,0,2
12,1,0,0,1,-1,-1,0,0,0,1,0,2
13,1,9,0,15,512,-1,0,0,0,12,0,2
14,1,10,0,15,1024,-1,0,0,0,7,0,2
15,1,11,0,15,512,-1,0,0,0,8,0,2
17,1,0,0,1,-1,-1,0,0,0,1,0,103
18,6,1,0,1,-1,-1,0,0,0,10,0,103
19,1,2,0,15,512,-1,0,0,0,4,0,103
20,1,3,0,15,1024,-1,0,0,0,5,0,103
21,1,4,0,6,-1,-1,0,0,0,30,0,103
22,1,5,0,15,1024,-1,0,0,0,11,0,103
23,1,6,0,15,512,-1,0,0,0,12,0,103
24,1,7,0,15,1024,-1,0,0,0,7,0,103
25,1,8,0,15,512,-1,0,0,0,8,0,103
26,1,9,0,15,32,-1,0,0,0,13,0,103
29,1,0,0,1,-1,-1,0,0,0,1,0,104
30,6,1,0,1,-1,-1,0,0,0,10,0,104
31,1,2,0,15,512,-1,0,0,0,4,0,104
32,1,3,0,15,1024,-1,0,0,0,5,0,104
33,1,4,0,6,-1,-1,0,0,0,30,0,104
34,1,5,0,6,512,-1,0,0,0,29,0,104
35,1,6,0,15,1024,-1,0,0,0,11,0,104
36,1,7,0,15,512,-1,0,0,0,12,0,104
37,1,8,0,15,1024,-1,0,0,0,7,0,104
38,1,9,0,15,512,-1,0,0,0,8,0,104
39,1,10,0,15,32,-1,0,0,0,13,0,104
41,1,0,0,1,-1,-1,0,0,0,1,0,105
42,6,1,0,1,-1,-1,0,0,0,10,0,105
43,1,2,0,15,512,-1,0,0,0,4,0,105
44,1,3,0,15,1024,-1,0,0,0,5,0,105
45,1,4,0,4,-1,-1,0,0,0,16,0,105
46,1,5,0,6,-1,-1,0,0,0,2,0,105
47,1,6,0,6,-1,-1,0,0,0,3,0,105
48,1,7,0,9,-1,-1,0,0,0,17,0,105
49,1,8,0,15,32,-1,0,0,0,13,0,105
52,1,0,0,1,-1,-1,0,0,0,1,0,106
53,6,1,0,1,-1,-1,0,0,0,10,0,106
54,1,2,0,15,512,-1,0,0,0,4,0,106
55,1,3,0,15,1024,-1,0,0,0,5,0,106
56,1,4,0,4,-1,-1,0,0,0,16,0,106
57,1,5,0,6,-1,-1,0,0,0,2,0,106
58,1,6,0,9,-1,-1,0,0,0,17,0,106
59,1,7,0,15,32,-1,0,0,0,13,0,106
60,1,8,0,15,8,-1,0,0,0,14,0,106
61,1,9,0,15,1024,-1,0,0,0,11,0,106
64,1,11,0,15,8,-1,0,0,0,14,0,104
65,19,12,0,1,-1,-1,0,0,0,25,0,104
66,1,13,0,7,512,-1,0,0,0,36,0,104
68,19,10,0,1,-1,-1,0,0,0,25,0,103
70,1,0,0,1,-1,-1,0,0,0,1,0,107
71,6,1,0,1,-1,-1,0,0,0,10,0,107
72,1,2,0,15,512,-1,0,0,0,4,0,107
73,1,3,0,15,1024,-1,0,0,0,5,0,107
74,1,4,0,9,-1,-1,0,0,0,16,0,107
75,1,5,0,15,32,-1,0,0,0,13,0,107
76,1,6,0,15,1024,-1,0,0,0,11,0,107
77,1,7,0,15,512,-1,0,0,0,12,0,107
78,1,8,0,15,1024,-1,0,0,0,7,0,107
79,1,9,0,15,512,-1,0,0,0,8,0,107
81,1,0,0,1,-1,-1,0,0,0,1,0,108
82,6,1,0,1,-1,-1,0,0,0,10,0,108
83,1,2,0,15,512,-1,0,0,0,4,0,108
84,1,3,0,15,1024,-1,0,0,0,5,0,108
85,1,4,0,9,-1,-1,0,0,0,16,0,108
