Name_lang,InitialRotation[0],InitialRotation[1],InitialRotation[2],ID,Field_12_0_0_63534_003,GameObjectID,Flags,Type,ModelType,ModelFileDataID,ThumbnailFileDataID,WeightCost,ItemID,InitialScale,Field_12_0_0_63534_013,OrderIndex,Field_12_0_0_63534_015,Field_12_0_0_63534_016,UiModelSceneID
[DNT] Orgrimmar Interior Wall - DO NOT USE,0,0,0,12,0,0,192,1,2,5796227,6650913,3,245399,1,0,1148,0,0,0
[DNT] Partition Pillar (WMO) - DO NOT USE,0,0,0,13,0,0,192,1,2,5805000,0,3,245420,1,0,1,0,0,0
[DNT] Partition Doorway (WMO) - DO NOT USE,0,0,0,60,0,0,192,1,2,5395908,0,3,245419,1,0,2,0,0,0
Ornate Stonework Fireplace,0,0,0,80,0,527886,2,1,1,6033663,7415905,5,235994,1,0,3,1,1,0
Tusked Fireplace,0,0,0,81,0,527890,2,1,1,6033664,7415913,5,245398,1,0,4,1,1,0
[DNT] Plain Interior Narrow Wall - DO NOT USE,0,0,0,83,0,0,192,1,2,5562146,6650913,3,245391,1,0,5,0,0,0
[DNT] Plain Interior Wall - DO NOT USE,0,0,0,84,0,0,192,1,2,5562147,6650913,3,245389,1,0,6,0,0,0
[DNT] Sturdy Wooden Interior Pillar - DO NOT USE,0,0,0,85,0,0,192,1,2,5562148,6650913,3,245387,1,0,7,0,0,0
[DNT] Stormwind Interior Pillar - DO NOT USE,0,0,0,87,0,0,192,1,2,6006178,6650913,3,245361,1,0,8,0,0,0
[DNT] Stormwind Interior Doorway - DO NOT USE,0,0,0,88,0,0,192,1,2,6006179,6650913,3,245363,1,0,9,0,0,0
[DNT] Stormwind Interior Wall - DO NOT USE,0,0,0,89,0,0,192,1,2,6006180,6650913,3,245362,1,0,10,0,0,0
[DNT] Stormwind Interior Narrow Wall - DO NOT USE,0,0,0,90,0,0,192,1,2,6006181,6650913,3,245364,1,0,11,0,0,0
{DNT] Plain Interior Doorway - DO NOT USE,0,0,0,91,0,0,192,1,2,6010350,6650913,3,245390,1,0,12,0,0,0
Rolled Scroll,0,0,0,126,0,0,3,1,1,936441,7415897,1,245275,1,10,13,2,0,0
[DNT] Green Book of Runes - DO NOT USE,0,0,0,129,0,175730,192,1,1,200913,7266403,1,245506,1,0,14,0,0,0
Sturdy Wooden Bookcase,0,0,0,373,0,0,3,1,1,6008928,7415909,5,245375,1,0,15,1,0,0
Sturdy Wooden Shelf,0,0,0,374,0,0,3,1,1,6008929,7415895,1,245384,1,0,16,1,0,0
Three-Candle Wrought Iron Chandelier,0,0,0,377,0,527892,258,3,1,6008933,7415893,1,235675,1,0,17,1,0,0
Sturdy Wooden Interior Door,0,0,0,378,0,527736,3,1,1,6008934,7415919,3,245355,1,0,18,1,1,0
Small Fruit Platter,0,0,0,379,0,0,3,1,1,6008935,7415925,1,245358,1,0,19,1,0,0
Wrought Iron Floor Lamp,0,0,0,383,0,527693,2,1,1,6008939,7415931,3,235677,1,0,20,1,2,0
[DNT] Sturdy Wooden Table - DO NOT USE,0,0,0,387,0,0,192,1,1,6008943,7415921,3,245373,1,0,21,0,0,0
"""Sunrise Canyon"" Painting",0,0,0,388,0,0,2,1,1,6008944,7415929,1,245383,1,0,22,1,1,0
Goldshire Window,0,0,0,389,0,0,2,1,1,6008945,7415937,3,245356,1,0,23,1,2,0
Tall Sturdy Wooden Bookcase,0,0,0,390,0,0,3,1,1,6046867,7415941,5,245376,1,0,24,1,0,0
Abandoned Bookcase,0,0,0,399,0,0,131,1,1,5408474,7415945,5,245410,1,10,25,0,0,0
Wooden Coffin Lid,0,0,0,478,0,0,3,1,1,6319980,7415949,3,245354,1,0,26,1,0,0
Empty Stormwind Market Stand,0,0,0,479,0,0,3,1,1,6324619,7415953,5,245365,1,0,27,1,0,0
Stormwind Bean Seller's Stand,0,0,0,480,0,0,3,1,1,6324620,7415957,3,245366,1,0,28,1,0,0
Stormwind Spice Merchant's Stand,0,0,0,481,0,0,3,1,1,6324622,7415961,5,245368,1,0,29,1,0,0
Gryphon Roost,0,0,0,482,0,0,3,1,1,6324625,7415965,5,245357,1,0,30,1,0,0
Sturdy Wooden Coffin,0,0,0,483,0,0,3,1,1,6324626,7415969,3,245352,1,0,31,1,0,0
Open Wooden Coffin,0,0,0,484,0,0,3,1,1,6324627,7415973,3,245353,1,0,32,1,0,0
Open-Air Sturdy Tent,0,0,0,485,0,0,3,1,1,6324628,7415977,5,245377,0.8,0,33,1,0,0
Sturdy Sheltering Tent,0,0,0,486,0,0,3,1,1,6324629,7415981,5,245378,0.8,0,34,1,0,0
Small Stonework Fountain,0,0,0,487,0,0,3,1,1,6324635,7415985,5,245360,1,0,35,1,0,0
Large Stonework Fountain,0,0,0,488,0,0,3,1,1,6324637,7415989,5,245359,1,0,36,1,0,0
Sturdy Roofed Wagon,0,0,0,489,0,0,3,1,1,6324639,7415993,5,245379,1,0,37,1,0,0
Sturdy Open Wagon,0,0,0,490,0,0,3,1,1,6324640,7415997,5,245380,1,0,38,1,0,0
Sturdy Covered Wagon,0,0,0,491,0,0,3,1,1,6324641,7416001,5,245382,1,0,39,1,0,0
Well-Built Well,0,0,0,492,0,0,3,1,1,6324642,7416005,5,245385,1,0,40,1,0,0
Sturdy Wooden Wheelbarrow,0,0,0,493,0,0,3,1,1,6324643,7416009,3,245386,1,0,41,1,0,0
Sturdy Wooden Chair,0,0,0,494,0,536082,259,1,1,6372825,7413231,1,235523,1,0,42,1,2,0
Sturdy Wooden Bed,0,0,0,495,0,0,3,1,1,6373411,7416013,3,245336,1,0,43,1,1,0
Covered Wooden Table,0,0,0,496,0,0,3,1,1,6373543,7416017,3,245372,1,0,44,1,1,0
Sturdy Wooden Table,0,0,0,497,0,0,3,1,1,6373544,7416021,3,245374,1,0,45,1,0,0
Circular Woolen Rug,0,0,0,498,0,0,3,4,1,6375820,7416025,3,235633,1,0,46,1,1,0
[DNT] Chair for Testing Decor Limits - do not use,0,0,0,508,0,0,192,1,1,6372825,7413231,2490,245350,1,0,47,0,0,0
Studded Wooden Chair,0,0,0,518,0,180046,128,1,1,198115,7266394,3,245507,1,0,48,0,0,0
Orcish Wooden Bench,0,0,0,519,0,320997,131,1,1,850838,7416029,3,245430,1,10,49,0,0,0
Gift of Gilneas,0,0,0,520,0,0,3,1,1,6383338,7416033,1,245369,1,0,50,1,0,0
Charming Laurel Tree,0,0,0,521,0,0,3,1,1,6383339,7416037,5,245371,1,0,51,1,0,0
Orgrimmar Interior Narrow Wall,0,0,0,522,0,0,2,1,2,6426640,7135488,3,236653,1,0,52,1,5,0
Orgrimmar Interior Doorway,0,0,0,523,0,0,2,1,2,6426638,7135473,3,236654,1,0,53,1,3,0
Orgrimmar Interior Wall,0,0,0,524,0,0,2,1,2,6426639,7135474,3,236655,1,0,54,1,10,0
Orgrimmar Round Interior Pillar,0,0,0,525,0,0,2,1,2,6429362,7138459,3,236666,1,0,55,1,10,0
Orgrimmar Square Interior Pillar,0,0,0,526,0,0,2,1,2,6429361,7135472,3,236667,1,0,56,1,0,0
Stormwind Interior Pillar,0,0,0,527,0,0,2,1,2,6426475,7135450,3,236675,1,0,57,1,0,0
Stormwind Interior Narrow Wall,0,0,0,528,0,0,2,1,2,6426478,7135453,3,236676,1,0,58,1,5,0
Stormwind Interior Wall,0,0,0,529,0,0,2,1,2,6426477,7135452,3,236677,1,0,59,1,10,0
Stormwind Interior Doorway,0,0,0,530,0,0,2,1,2,6426476,7135451,3,236678,1,0,60,1,3,0
Sturdy Wooden Interior Pillar,0,0,0,533,0,0,2,1,2,6431819,7135459,3,245392,1,0,61,1,10,0
Plain Interior Wall,0,0,0,534,0,0,2,1,2,6431822,7135461,3,245393,1,0,62,1,0,0
Plain Interior Doorway,0,0,0,535,0,0,2,1,2,6431820,7135460,3,245394,1,0,63,1,0,0
Plain Interior Narrow Wall,0,0,0,536,0,0,2,1,2,6431823,7135462,3,245395,1,0,64,1,0,0
Winter Veil Tree,0,0,0,562,0,0,192,1,1,4913588,7416041,5,245292,1,10,65,0,0,0
Wild Violet Bellflowers,0,0,0,582,0,0,131,1,1,4684656,7416045,1,245298,1,10,66,0,0,0
Reaching Violet Bellflowers,0,0,0,584,0,0,131,1,1,4684657,7416049,1,245299,1,10,67,0,0,0
Arched Violet Bellflowers,0,0,0,586,0,0,131,1,1,4684658,7416053,1,245300,1,10,68,0,0,0
Algari Lettuce Plant,0,0,0,592,0,0,131,1,1,4684695,7416057,1,245301,1,10,69,0,0,0
Moon-Blessed Storage Crate,0,0,0,673,0,0,3,1,1,1096755,7416061,1,238857,1,10,70,2,0,0
Ancient Elven Highback Chair,0,0,0,674,0,554701,3,1,1,1096835,7416065,3,245449,1,10,71,2,0,0
Cenarion Privacy Screen,0,0,0,675,0,0,3,1,1,1108747,7416069,3,238859,1,10,72,3,0,0
Deluxe Val'sharah Bed,0,0,0,676,0,0,3,1,1,1108751,7416073,3,238860,1,10,73,2,0,0
