ID,ItemContext,ChildItemBonusTreeID,ChildItemBonusListID,ChildItemLevelSelectorID,ChildItemBonusListGroupID,IblGroupPointsModSetID,MinMythicPlusLevel,MaxMythicPlusLevel,ItemCreationContextGroupID,Flags,ParentItemBonusTreeID
24909,0,0,12688,0,0,0,0,0,0,0,5537
24910,0,0,12689,0,0,0,0,0,0,0,5537
24911,0,0,12690,0,0,0,0,0,0,0,5537
24912,0,0,12691,0,0,0,0,0,0,0,5537
25736,0,0,12718,0,0,0,0,0,0,0,5654
25737,0,0,12719,0,0,0,0,0,0,0,5654
25738,0,0,12720,0,0,0,0,0,0,0,5654
25739,0,0,12730,0,0,0,0,0,0,0,5654
25740,0,0,12731,0,0,0,0,0,0,0,5654
25741,0,0,12729,0,0,0,0,0,0,0,5654
25742,0,0,12756,0,0,0,0,0,0,0,5654
25743,0,0,12757,0,0,0,0,0,0,0,5654
25744,0,0,12758,0,0,0,0,0,0,0,5654
25745,0,0,12759,0,0,0,0,0,0,0,5654
25746,0,0,12761,0,0,0,0,0,0,0,5654
25747,0,0,12734,0,0,0,0,0,0,0,5654
25748,0,0,12735,0,0,0,0,0,0,0,5654
25749,0,0,12740,0,0,0,0,0,0,0,5654
25750,0,0,12741,0,0,0,0,0,0,0,5654
25751,0,0,12742,0,0,0,0,0,0,0,5654
25752,0,0,12743,0,0,0,0,0,0,0,5654
25753,0,0,12744,0,0,0,0,0,0,0,5654
25754,0,0,12745,0,0,0,0,0,0,0,5654
25755,0,0,12746,0,0,0,0,0,0,0,5654
25756,0,0,12747,0,0,0,0,0,0,0,5654
25757,0,0,12748,0,0,0,0,0,0,0,5654
25758,0,0,12749,0,0,0,0,0,0,0,5654
25759,0,0,12750,0,0,0,0,0,0,0,5654
25760,0,0,12718,0,0,0,0,0,0,0,5655
25761,0,0,12719,0,0,0,0,0,0,0,5655
25762,0,0,12720,0,0,0,0,0,0,0,5655
25763,0,0,12721,0,0,0,0,0,0,0,5655
25764,0,0,12722,0,0,0,0,0,0,0,5655
25765,0,0,12723,0,0,0,0,0,0,0,5655
25766,0,0,12724,0,0,0,0,0,0,0,5655
25767,0,0,12725,0,0,0,0,0,0,0,5655
25768,0,0,12726,0,0,0,0,0,0,0,5655
25769,0,0,12727,0,0,0,0,0,0,0,5655
25770,0,0,12728,0,0,0,0,0,0,0,5655
25771,0,0,12729,0,0,0,0,0,0,0,5655
25772,0,0,12730,0,0,0,0,0,0,0,5655
25773,0,0,12731,0,0,0,0,0,0,0,5655
25774,0,0,12732,0,0,0,0,0,0,0,5655
25775,0,0,12733,0,0,0,0,0,0,0,5655
25776,0,0,12734,0,0,0,0,0,0,0,5655
25777,0,0,12735,0,0,0,0,0,0,0,5655
25778,0,0,12736,0,0,0,0,0,0,0,5655
25779,0,0,12740,0,0,0,0,0,0,0,5655
25780,0,0,12741,0,0,0,0,0,0,0,5655
25781,0,0,12742,0,0,0,0,0,0,0,5655
25782,0,0,12743,0,0,0,0,0,0,0,5655
25783,0,0,12744,0,0,0,0,0,0,0,5655
25784,0,0,12756,0,0,0,0,0,0,0,5655
25785,0,0,12760,0,0,0,0,0,0,0,5655
25786,0,0,12745,0,0,0,0,0,0,0,5655
25787,0,0,12746,0,0,0,0,0,0,0,5655
25788,0,0,12747,0,0,0,0,0,0,0,5655
25789,0,0,12748,0,0,0,0,0,0,0,5655
25790,0,0,12749,0,0,0,0,0,0,0,5655
25791,0,0,12750,0,0,0,0,0,0,0,5655
25792,0,0,12751,0,0,0,0,0,0,0,5655
25793,0,0,12752,0,0,0,0,0,0,0,5655
25794,0,0,12753,0,0,0,0,0,0,0,5655
25795,0,0,12718,0,0,0,0,0,0,0,5656
25796,0,0,12719,0,0,0,0,0,0,0,5656
25797,0,0,12720,0,0,0,0,0,0,0,5656
25798,0,0,12721,0,0,0,0,0,0,0,5656
25799,0,0,12722,0,0,0,0,0,0,0,5656
25800,0,0,12723,0,0,0,0,0,0,0,5656
25801,0,0,12724,0,0,0,0,0,0,0,5656
25802,0,0,12725,0,0,0,0,0,0,0,5656
25803,0,0,12726,0,0,0,0,0,0,0,5656
25804,0,0,12727,0,0,0,0,0,0,0,5656
25805,0,0,12728,0,0,0,0,0,0,0,5656
25806,0,0,12729,0,0,0,0,0,0,0,5656
25807,0,0,12730,0,0,0,0,0,0,0,5656
25808,0,0,12731,0,0,0,0,0,0,0,5656
25809,0,0,12732,0,0,0,0,0,0,0,5656
25810,0,0,12733,0,0,0,0,0,0,0,5656
25811,0,0,12734,0,0,0,0,0,0,0,5656
25812,0,0,12735,0,0,0,0,0,0,0,5656
25813,0,0,12740,0,0,0,0,0,0,0,5656
25814,0,0,12741,0,0,0,0,0,0,0,5656
25815,0,0,12742,0,0,0,0,0,0,0,5656
25816,0,0,12743,0,0,0,0,0,0,0,5656
25817,0,0,12744,0,0,0,0,0,0,0,5656
25818,0,0,12760,0,0,0,0,0,0,0,5656
25819,0,0,12745,0,0,0,0,0,0,0,5656
25820,0,0,12746,0,0,0,0,0,0,0,5656
25821,0,0,12747,0,0,0,0,0,0,0,5656
25822,0,0,12748,0,0,0,0,0,0,0,5656
25823,0,0,12749,0,0,0,0,0,0,0,5656
25824,0,0,12750,0,0,0,0,0,0,0,5656
25825,0,0,12751,0,0,0,0,0,0,0,5656
25826,0,0,12752,0,0,0,0,0,0,0,5656
25827,0,0,12755,0,0,0,0,0,0,0,5656
25828,0,0,12718,0,0,0,0,0,0,0,5657
25829,0,0,12719,0,0,0,0,0,0,0,5657
25830,0,0,12720,0,0,0,0,0,0,0,5657
25831,0,0,12721,0,0,0,0,0,0,0,5657
25832,0,0,12722,0,0,0,0,0,0,0,5657
25833,0,0,12723,0,0,0,0,0,0,0,5657
25834,0,0,12724,0,0,0,0,0,0,0,5657
25835,0,0,12725,0,0,0,0,0,0,0,5657
25836,0,0,12726,0,0,0,0,0,0,0,5657
25837,0,0,12727,0,0,0,0,0,0,0,5657
25838,0,0,12728,0,0,0,0,0,0,0,5657
25839,0,0,12729,0,0,0,0,0,0,0,5657
25840,0,0,12730,0,0,0,0,0,0,0,5657
25841,0,0,12731,0,0,0,0,0,0,0,5657
25842,0,0,12732,0,0,0,0,0,0,0,5657
25843,0,0,12733,0,0,0,0,0,0,0,5657
25844,0,0,12734,0,0,0,0,0,0,0,5657
25845,0,0,12735,0,0,0,0,0,0,0,5657
25846,0,0,12740,0,0,0,0,0,0,0,5657
25847,0,0,12741,0,0,0,0,0,0,0,5657
25848,0,0,12742,0,0,0,0,0,0,0,5657
25849,0,0,12743,0,0,0,0,0,0,0,5657
25850,0,0,12744,0,0,0,0,0,0,0,5657
25851,0,0,12759,0,0,0,0,0,0,0,5657
25852,0,0,12748,0,0,0,0,0,0,0,5657
