ID,TraitNodeID,TraitCostID
12,92672,3260
30,92679,3285
50,94579,3325
78,102022,3894
79,102023,3895
80,102024,3896
81,102025,3897
87,102034,3903
88,103845,3926
89,103812,3927
121,104811,4243
122,104812,4243
123,104813,4003
124,104814,4243
125,104815,4243
126,104816,4243
127,104817,4243
128,104818,4243
129,104819,4243
130,104820,4243
131,104821,4243
132,104822,4243
145,104835,4243
146,104836,4243
147,104837,4243
148,104838,4243
149,104839,4243
150,104840,4243
151,104841,4243
152,104842,4243
153,104843,4243
154,104844,4243
155,104845,4243
156,104846,4243
157,104847,4243
158,104848,4243
159,104849,4046
160,104850,4243
161,104851,4243
162,104852,4243
163,104853,4243
164,104854,4243
165,104855,4243
166,104856,4243
167,104857,4243
168,104858,4243
169,105014,4243
170,105015,4243
171,105016,4243
260,107582,4252
261,107584,4253
265,108102,4292
266,108103,4293
267,108104,4302
268,108105,4299
269,108106,4296
270,108107,4294
271,108108,4303
273,108110,4297
274,108111,4295
275,108112,4304
276,108113,4301
277,108114,4298
278,108119,4305
279,108120,4306
280,108121,4307
281,108132,4308
293,108165,4320
294,108166,4321
297,108169,4324
300,108172,4327
308,108180,4335
309,108181,4336
310,108182,4337
341,108213,4368
342,108214,4371
343,108215,4370
344,108216,4369
345,108217,4372
346,108218,4373
347,108219,4379
348,108220,4377
349,108221,4378
350,108222,4374
351,108223,4376
352,108224,4375
353,108225,4385
354,108226,4380
355,108227,4384
356,108228,4382
357,108229,4381
358,108230,4383
359,108231,4386
360,108232,4391
361,108233,4389
362,108234,4390
363,108235,4387
364,108236,4388
365,108237,4393
366,108238,4394
367,108239,4395
368,108240,4392
369,108241,4397
370,108242,4396
371,108243,4403
372,108244,4399
373,108245,4402
374,108246,4400
375,108247,4398
376,108248,4401
377,108249,4405
378,108250,4407
379,108251,4404
380,108252,4409
381,108253,4406
382,108254,4408
383,108255,4410
384,108256,4414
385,108257,4412
386,108258,4415
387,108259,4413
388,108260,4411
390,108398,4418
391,108401,4419
397,108523,4433
398,108694,4437
399,108695,4438
403,108699,4442
404,108700,4443
405,108701,4444
406,108702,4445
409,108868,4462
410,108869,4463
411,108870,4464
414,108873,4467
415,108874,4468
416,108875,4469
417,108878,4471
418,108118,4470
438,108975,4549
476,109259,4648
477,109260,4647
478,109261,4642
479,109262,4645
480,109263,4638
481,109264,4644
482,109265,4639
483,109266,4634
484,109267,4643
485,109268,4640
486,109269,4646
487,109270,4641
488,109271,4633
489,109272,4635
490,109273,4636
491,109274,4637
