ID,Reaction_lang,FriendshipRepID,ReactionThreshold
1,Stranger,2,0
2,Acquaintance,2,8400
3,Buddy,2,16800
4,Friend,2,25200
5,Good Friend,2,33600
6,Best Friend,2,42000
59,Stranger,16,0
60,Acquaintance,16,8400
61,Buddy,16,16800
62,Friend,16,25200
63,Good Friend,16,33600
64,Best Friend,16,42000
65,Stranger,17,0
66,Acquaintance,17,8400
67,Buddy,17,16800
68,Friend,17,25200
69,Good Friend,17,33600
70,Best Friend,17,42000
71,Stranger,18,0
72,Acquaintance,18,8400
73,Buddy,18,16800
74,Friend,18,25200
75,Good Friend,18,33600
76,Best Friend,18,42000
77,Stranger,19,0
78,Acquaintance,19,8400
79,Buddy,19,16800
80,Friend,19,25200
81,Good Friend,19,33600
82,Best Friend,19,42000
83,Stranger,20,0
84,Acquaintance,20,8400
85,Buddy,20,16800
86,Friend,20,25200
87,Good Friend,20,33600
88,Best Friend,20,42000
89,Stranger,21,0
90,Acquaintance,21,8400
91,Buddy,21,16800
92,Friend,21,25200
93,Good Friend,21,33600
94,Best Friend,21,42000
95,Stranger,22,0
96,Acquaintance,22,8400
97,Buddy,22,16800
98,Friend,22,25200
99,Good Friend,22,33600
100,Best Friend,22,42000
101,Stranger,23,0
102,Acquaintance,23,8400
103,Buddy,23,16800
104,Friend,23,25200
105,Good Friend,23,33600
106,Best Friend,23,42000
107,Stranger,24,0
108,Acquaintance,24,8400
109,Buddy,24,16800
110,Friend,24,25200
111,Good Friend,24,33600
112,Best Friend,24,42000
113,Apprentice,25,0
114,Apprentice,25,8400
115,Journeyman,25,16800
116,Journeyman,25,25200
117,Journeyman,25,33600
118,Expert,25,42000
119,Stranger,26,0
120,Pal,26,8400
121,Buddy,26,16800
122,Friend,26,25200
123,Best Friend,26,42000
124,Good Friend,26,33600
127,Rank 1,28,0
128,Rank 2,28,1000
129,Rank 3,28,2000
130,Rank 4,28,3000
131,Rank 5,28,4000
132,Rank 6,28,5000
133,Rank 7,28,6000
192,Rank 1,43,0
193,Rank 2,43,1000
194,Rank 3,43,2000
195,Rank 4,43,3000
196,Rank 5,43,4000
197,Rank 6,43,5000
198,Rank 7,43,6000
271,Rank 8,43,7000
272,Rank 8,28,7000
283,Rank 9,28,8000
284,Rank 9,43,8000
285,Max Rank,43,9000
286,Max Rank,28,9000
288,Not Supplied,72,0
289,Supplied,72,10000
