ID,KeyFloor,PlayerConditionID,DisplaySeasonID
3,12,134280,25
4,13,136003,25
5,14,136004,25
6,15,136005,25
7,16,136006,25
8,17,136007,25
9,18,136008,25
10,19,136009,25
11,20,136010,25
12,21,136011,25
13,22,136012,25
14,23,136013,25
15,24,136014,25
16,25,136015,25
31,12,139767,30
32,13,139768,30
33,14,139769,30
34,15,139770,30
35,16,139771,30
36,17,139772,30
37,18,139773,30
38,19,139774,30
39,20,139775,30
40,21,139776,30
41,22,139777,30
42,23,139779,30
43,24,139780,30
44,25,139781,30
45,25,139781,31
46,12,145133,34
47,13,145134,34
48,14,145135,34
49,15,145136,34
50,16,145137,34
51,17,145138,34
52,18,145139,34
53,19,145140,34
54,20,145141,34
55,21,145142,34
56,22,145143,34
57,23,145144,34
58,24,145145,34
59,25,145146,34
60,26,145148,34
61,27,145150,34
62,28,145151,34
63,29,145153,34
64,30,145154,34
