ID,Field_1_60_1_69876_000,Field_1_60_1_69876_001,Field_1_60_1_69876_002
33,84825,29,0
34,84826,30,0
35,84827,31,0
36,84828,32,0
37,85580,33,1
38,85580,33,2
39,85599,33,3
40,85599,33,4
41,85599,33,7
42,85600,34,3
43,85601,34,1
44,85601,34,4
45,87126,27,1
46,88214,27,2
47,88215,27,3
48,88216,27,4
49,88217,27,5
50,88218,27,7
51,88219,27,8
52,88220,27,9
53,88221,27,11
54,87146,28,1
55,88208,28,2
56,88208,28,3
57,88209,28,4
58,88210,28,5
59,88211,28,7
60,88210,28,8
61,88212,28,9
62,88213,28,11
70,94664,35,0
71,94665,35,1
72,94666,35,2
73,94667,35,3
74,94668,35,4
75,94669,36,0
78,96713,20,0
79,96714,19,0
81,98227,47,0
82,99671,48,0
86,104934,51,0
88,105757,53,0
89,106855,43,0
92,117773,45,0
