ID,Position[0],Position[1],Position[2],MapID,Field_10_1_5_50006_002,Field_10_1_5_50006_003,JournalInstanceID
3,-11207.942,1679.658,24.05051,0,6510,-1,63
5,-11522.913,-2317.587,612.9596,2241,10833,-1,68
6,-10687.154,-1309.2361,17.688293,2241,10833,-1,69
7,-10218.607,-1837.9271,24.81167,2241,10833,-1,70
8,-11360.984,73.11632,730.72797,2241,10833,-1,74
9,1204.507,642.4809,347.64377,1795,9105,-1,369
10,4048.8594,-665.94794,1.272476,1464,6723,-1,669
11,-1713.0591,6649.049,124.86316,1220,7334,-1,707
12,0.065972224,5811.6304,4.766899,1220,7334,-1,716
13,2454.9722,812.42535,252.92574,1220,7541,-1,721
14,1153.5625,4380.526,9.202438,1220,7637,-1,726
15,3436.269,1986.7726,21.63528,1220,7541,-1,727
16,3122.0278,7561.7085,32.323326,1220,7558,-1,740
17,3826.4583,6359.827,186.68576,1220,7558,-1,762
18,3716.4644,4184.991,891.536,1220,7503,-1,767
19,3617.5208,6506.291,183.39064,1220,7558,-1,768
20,-969.941,4313.9385,742.17444,1220,7502,-1,777
21,1242.7048,4202.479,-66.40068,1220,7637,-1,786
22,1017.8195,3828.6338,8.699515,1220,8148,-1,800
23,3617.5208,6506.291,183.39064,1220,7558,-1,822
24,-11044.357,-1992.6997,92.971054,0,41,-1,860
25,2357.3247,909.2743,257.7899,1220,7541,-1,861
26,-524.2934,2415.3958,117.08511,1220,7543,-1,875
27,-436.19446,2419.1528,108.36211,1220,7543,-1,900
28,5414.5522,10819.247,20.116205,1669,8701,-1,945
29,-3212.9446,9419.38,-173.21246,1669,8899,-1,946
30,3617.5208,6506.291,183.39064,1220,7558,-1,959
31,-847.3524,2044.356,735.61945,1642,8499,-1,968
32,-1606.0538,-1229.2344,36.987644,1643,8567,-1,1001
33,36.463543,-2660.823,28.118395,1643,10015,-1,1002
34,796.658,3371.592,234.56396,1643,8721,-1,1021
35,1275.6545,762.94965,-269.12305,1642,8500,-1,1022
36,-212.04514,-1562.2673,6.0608544,1643,8567,-1,1023
37,1149.7882,-551.96875,0.9867274,1643,8567,-1,1023
38,1336.1598,624.01044,-165.84845,1642,8500,-1,1028
39,3233.3958,3151.7795,139.76935,1642,8501,-1,1030
40,1336.1598,624.01044,-165.84845,1642,8500,-1,1031
41,4161.0835,-1140.8247,164.7177,1643,9042,-1,1036
42,-849.30554,2552.1797,732.1778,1642,8499,-1,1041
43,-315.014,1115.65,314.901,1642,8499,0,1176
44,914.115,-534.007,9.86515,1643,8717,1,1176
45,3413.9011,-1429.6997,118.951,1643,9042,-1,1177
46,3744.486,-508.83508,-893.5423,1718,10052,-1,1179
47,1141.0973,1466.4166,385.9117,1795,9105,-1,1180
48,-9844.54,-976.1233,150.78432,2241,10833,-1,1180
49,-3316.6355,-4094.1597,6605.777,2222,10534,-1,1182
50,2081.9688,-3118.6077,3273.7974,2222,11462,-1,1183
51,-6935.8506,1789.118,5552.4487,2222,11510,-1,1184
52,-2196.8333,4987.9204,4079.8606,2222,10413,-1,1185
53,-2130.6753,-5327.3403,6549.611,2222,10534,-1,1186
54,2605.5088,-2709.5938,3299.7175,2222,11462,-1,1187
55,-7544.271,-583.3143,5454.019,2222,11510,-1,1188
56,-1487.1562,6543.4175,4186.367,2222,10413,-1,1189
57,-1901,6791.9897,4302.6797,2222,10413,-1,1190
58,4849.596,5779.413,4864.4736,2222,11400,-1,1193
59,4843.9634,5819.7812,4867.44,2456,13587,-1,1193
61,-227.998,1576.7,80.883,0,236,-1,64
62,-5582.19,5396.9,-1797.17,0,5047,-1,65
63,-7569.29,-1331.2,250,0,252,-1,66
64,1031.33,612.83,152.164,646,5303,-1,67
65,-11522.1,-2317.43,616.5,1,5034,-1,68
66,-10688,-1309.1,17.6616,1,5599,-1,69
67,-10221.8,-1837.66,21.7955,1,5732,-1,70
68,-4042.39,-3444.45,295,0,1037,-1,71
69,-4899.67,-4222.36,827.764,0,5473,-1,72
70,-7542.91,-1184.93,482,0,254,-1,73
71,-11361.2,73.0295,723.901,1,5034,-1,74
72,-1274,1050.09,110,732,5399,-1,75
73,-11916.2,-1218.47,100,0,19,-1,76
74,6851.88,-8008.73,192.318,530,5780,-1,77
75,3980.63,-2924.81,1017,1,5039,-1,78
76,-8281.13,-4456.64,-190,1,440,-1,184
77,-8595.2,-3993.16,-198,1,2300,-1,185
78,-8287.83,-4593.46,-209,1,2300,-1,186
79,-8262.02,-4512.12,-200,1,2300,-1,187
80,1818.4,-4427.26,-10.4478,1,1637,-1,226
81,4253.11,756.967,-19.5,1,2077,-1,227
82,-7176.63,-937.667,170.206,0,51,-1,228
83,-7527.8975,-1336.8455,290.6563,0,252,-1,229
84,-3759.69,934.929,161.025,1,3217,-1,230
85,-3519.95,1089.93,161.065,1,3217,-1,230
86,-3822.63,1249.92,160.27,1,3217,-1,230
87,-5154.98,916.549,287.395,0,1,-1,231
88,-1181.98,2861.95,85.2581,1,607,-1,232
89,-1484.07,2617.57,75.7144,1,405,-1,232
90,-1381.96,2918.73,73.2039,1,607,-1,232
91,-4664.6,-2536.93,82.6679,1,5092,-1,233
92,-4455.11,-1655.01,85,1,4709,-1,234
93,3392.46,-3389.2,143.073,0,2279,-1,236
94,-10292.3,-3990.02,-68,0,74,-1,237
95,-8761.85,848.557,87.8052,0,8411,-1,238
96,-6055.5,-2955,220,0,923,-1,239
97,-753.596,-2212.78,21.5403,1,17,-1,240
98,-6790.88,-2891.95,8.88639,1,978,-1,241
99,1282.05,-2548.73,85.3994,0,2298,-1,246
100,-3361.55,5236.87,-101.048,530,3688,-1,247
101,-365.611,3087.62,-14.5594,530,3545,-1,248
102,12878.8,-7348.74,65.531,530,4095,-1,249
103,-3068.13,4942.8,-101.048,530,3956,-1,250
104,-8326.27,-4047.44,-207.522,1,440,-1,251
105,-3362.35,4650.31,-101.048,530,3688,-1,252
106,-3656.05,4943.11,-101.048,530,3688,-1,253
107,3314.78,1325.92,507.348,530,3842,-1,254
108,-8777.39,-4156.92,-190,1,981,-1,255
109,-307.251,3170.51,28.9144,530,3955,-1,256
110,3418.92,1479.01,184.059,530,3842,-1,257
111,2861.37,1545.39,252.158,530,3842,-1,258
112,-310.211,3091.59,-4.15263,530,3545,-1,259
113,745.839,7015.27,-72.1185,530,3653,-1,260
114,818.487,6951.3,-80.5704,530,3653,-1,261
115,782.879,6741.94,-72.5406,530,3521,-1,262
116,3639.4,2027.2,6.5,571,65,-1,271
117,3668.29,2174.63,36.2343,571,65,-1,272
118,4775.32,-2017.16,235,571,4309,-1,273
119,6976.54,-4396.33,457.5,571,4375,-1,274
120,9188.82,-1390.01,1144,571,4548,-1,275
121,5627.41,1957.32,819,571,4522,-1,276
122,8922.03,-963.434,1052,571,4547,-1,277
123,5584.11,2003.16,807.2,571,4522,-1,278
124,-8758.78,-4469.58,-194,1,440,-1,279
125,5678.56,1995.28,808,571,4522,-1,280
126,3902.79,6985.69,75,571,4120,-1,281
127,3869.84,6984.16,112.5,571,4120,-1,282
128,5675.43,480.919,659.194,571,4553,-1,283
129,8562.6,791.785,562.899,571,4658,-1,284
130,1257.11,-4854.48,41.248,571,495,-1,285
131,1226.23,-4861.7,223.223,571,495,-1,286
132,-720.0035,1261.4983,136.64635,870,6001,-1,302
133,699.68054,2080.3784,374.69788,870,6306,-1,303
134,2864.82,-823.42,160.332,0,160,-1,311
135,3646,2545.9,777.015,870,6173,-1,312
136,957.349,-2475.71,188,870,5974,-1,313
137,2924.38,-798.429,161.611,0,161,-1,316
138,3977.2405,1115.7361,497.13614,870,5841,-1,317
139,959.9583,-49.5,513.7356,870,6372,-1,320
140,1401.8403,426.84375,479.05435,870,6143,-1,321
141,959.9583,-49.5,513.7356,870,6372,-1,322
142,165.23611,4068.0598,256.2028,870,6435,-1,330
143,7264.408,5014.869,76.17106,1064,6507,-1,362
144,1244.8403,598.9167,325.8603,870,6143,-1,369
145,7270.0024,4470.3223,125.83315,1116,6968,-1,385
146,8112.2163,847.9184,34.34571,1116,6892,-1,457
147,114.03646,2196.2864,177.16574,1116,6722,-1,476
148,17.203125,2519.6494,109.22791,1116,6722,-1,476
149,3471.414,7447.896,31.816738,1116,7367,-1,477
150,7890.1675,569.2257,126.0617,1116,6901,-1,536
151,752.61285,138.52605,7.53106,1116,6872,-1,537
152,1499.2778,3049.6042,110.85907,1116,6662,-1,547
153,7080.897,187.48958,144.96086,1116,7320,-1,556
154,3471.414,7447.896,31.816738,1116,7367,-1,557
155,8850.575,1338.0764,98.26377,1116,7411,-1,558
156,-7474.9844,-1322.0938,302.93622,0,254,-1,559
157,-7512.16,-1034.78,177.208,0,254,-1,741
159,-8424.94,1508.65,32.0142,1,5695,-1,743
160,-8230.4,2005.33,129.863,1,5695,-1,744
161,-11101.9,-1998.12,49.3307,0,2562,-1,745
162,3556.79,5083.41,1.44248,530,3522,-1,746
163,-309.678,3079.12,-116.571,530,3545,-1,747
164,843.885,6865.24,-66.9898,530,3521,-1,748
165,3087.18,1364.53,184.071,530,3842,-1,749
166,-8158.9,-4155.65,-160,1,440,-1,750
167,-3671.96,318.534,31.6194,530,3756,-1,751
168,12551,-6775.15,15.0531,530,4094,-1,752
169,5494.88,2839.81,420.811,571,4575,-1,753
170,3681.29,-1280.19,248.466,571,4188,-1,754
171,3442.63,260.951,-100,571,4254,-1,755
172,3870.29,6984.2,153.847,571,4120,-1,756
173,8515.21,744.413,562.906,571,4658,-1,757
174,5772.11,2063.27,647.064,571,4522,-1,758
175,9364.36,-1113.44,1320,571,4445,-1,759
176,-4768.61,-3752.11,53.4317,1,511,-1,760
177,3608.19,186.17,-100,571,4254,-1,761
179,-4478.29,4245.3135,6.5979004,2444,13837,-1,1196
180,-545.3177,2212.382,430.0213,2444,13645,-1,1198
181,2350.5088,2627.7986,244.04164,2444,13644,-1,1199
182,452.85938,-4287.7676,1580.9672,2444,13647,-1,1200
183,1353.7916,-2781.5156,731.5393,2444,13647,-1,1201
184,1364.566,-160.13542,115.10043,2444,13644,-1,1202
185,-5650.2275,1273.4948,810.1035,2444,13646,-1,1203
186,129.22743,-2865.4426,1227.0004,2444,13647,-1,1204
187,-1512.7795,-3086.5105,1238.966,2444,13647,-1,1209
189,1845.4288,2548.6104,-79.50673,2454,14022,-1,1208
