ID,SpellID,StanceBarOrder,ShapeshiftExclude[0],ShapeshiftExclude[1],ShapeshiftMask[0],ShapeshiftMask[1]
1,17,0,0,0,-2013265920,0
6,139,0,0,0,-2013265920,0
8,453,0,0,0,134217728,0
9,467,0,0,0,1073741824,0
10,483,-1,0,0,0,0
11,527,0,134217728,0,-2147483648,0
12,528,0,0,0,134217728,0
13,585,0,134217728,0,0,0
16,589,0,0,0,134217728,0
17,596,0,134217728,0,-2147483648,0
18,605,0,0,0,134217728,0
22,740,0,1073741824,4,0,0
23,768,2,0,0,0,0
26,774,0,1073741845,4,0,0
28,783,3,1073741826,0,0,0
30,921,0,0,0,536870912,0
31,952,-1,0,0,0,0
32,1066,0,1073741826,0,0,0
33,1079,0,0,0,1,0
36,1178,0,0,0,16,0
38,1706,0,335544320,0,-2013265920,0
41,1822,0,0,0,1,0
42,1825,0,0,0,1,0
43,1833,0,0,0,536870912,0
45,2006,0,0,0,134217728,0
46,2050,0,134217728,0,-2147483648,0
47,2060,0,134217728,0,-2147483648,0
48,2061,0,0,0,-2013265920,0
49,2096,0,0,0,134217728,0
50,2369,0,335544320,0,0,0
51,2371,0,335544320,0,0,0
54,2575,0,2,0,0,0
55,2576,0,2,0,0,0
56,2637,0,0,0,1073741826,0
60,3025,0,0,0,1,0
61,3026,2,0,0,0,0
63,3564,0,2,0,0,0
64,5176,0,0,0,1073741824,0
70,5221,0,0,0,1,0
71,5225,0,0,0,1,0
74,5421,0,0,0,8,0
78,6247,0,-2147483648,0,0,0
82,6770,0,0,0,536870912,0
85,6807,0,0,0,16,0
86,7092,0,0,0,8192,0
87,7266,-1,0,0,0,0
90,7620,0,2,0,0,0
91,7731,0,2,0,0,0
92,7732,0,2,0,0,0
95,8122,0,0,0,134217728,0
97,8676,0,0,0,536870912,0
98,8921,0,0,0,1073741826,4
102,9484,0,0,0,134217728,0
105,10248,0,2,0,0,0
106,10270,2,0,0,0,0
108,11327,1,0,0,536870912,0
116,13099,-1,0,0,0,0
117,13119,-1,0,0,0,0
118,13120,-1,0,0,0,0
119,13138,-1,0,0,0,0
120,13491,0,0,0,65536,0
131,14909,0,134217728,0,0,0
135,14914,0,134217728,0,0,0
143,15017,0,134217728,0,0,0
155,15407,0,0,0,134217728,0
156,15487,0,0,0,134217728,0
158,16053,0,0,0,134217728,0
159,16329,0,0,0,134217728,0
160,16511,-1,0,0,0,0
161,16566,-1,0,0,0,0
164,16914,0,0,0,1073741826,0
170,16949,0,0,0,1,0
172,16953,0,0,0,1,0
177,16979,0,0,0,16,0
182,18125,0,0,0,134217728,0
183,18141,0,0,0,134217728,0
184,18248,0,2,0,0,0
190,18562,0,1073741845,4,2,0
191,18669,-1,0,0,0,0
192,18960,0,0,0,1073741826,0
193,18976,2,0,0,0,0
194,19213,-1,0,0,0,0
195,19236,0,-2147483648,0,134217728,0
197,19726,5,0,0,0,0
211,20706,0,0,0,134217728,0
212,20707,2,0,0,0,0
213,20719,0,0,0,1,0
214,20751,0,0,0,8192,0
215,21169,3,0,0,0,0
217,21651,0,-2147483648,0,0,0
218,22568,0,0,0,1,0
219,22570,0,0,0,1,0
220,22752,0,0,0,1,0
221,22822,0,0,0,134217728,0
223,22842,0,0,0,16,0
225,23455,0,134217728,0,0,0
226,23700,1,0,0,0,0
229,23947,0,0,0,134217728,0
230,23948,0,0,0,134217728,0
231,23964,0,0,0,134217728,0
238,24858,4,2,0,0,0
247,24925,0,1140883583,0,0,0
248,24926,0,1409319071,0,0,0
249,24927,0,1409319071,0,0,0
254,25816,0,0,0,134217728,0
257,26565,0,134217728,0,0,0
259,27530,0,0,0,1073741824,0
260,27546,4,0,0,0,0
261,27551,0,0,0,8192,0
262,27553,0,0,0,8192,0
263,27554,0,0,0,8192,0
264,27555,0,0,0,16384,0
265,27556,0,0,0,16384,0
266,27557,0,0,0,16384,0
267,27605,0,0,0,134217728,0
268,27606,0,134217728,0,0,0
269,27607,0,0,0,134217728,0
270,27608,0,134217728,0,0,0
271,27609,0,0,0,134217728,0
272,27610,0,0,0,134217728,0
273,27636,0,0,0,134217728,0
275,27733,2,0,0,0,0
276,27740,3,0,0,0,0
277,27779,0,0,0,134217728,0
281,27827,0,134217728,0,0,0
282,27985,0,0,0,134217728,0
283,27986,0,0,0,134217728,0
284,28133,0,134217728,0,0,0
288,28516,0,0,0,134217728,0
289,28566,-1,0,0,0,0
290,28567,-1,0,0,0,0
291,28568,-1,0,0,0,0
292,28569,-1,0,0,0,0
293,28580,-1,0,0,0,0
294,28581,-1,0,0,0,0
295,28582,-1,0,0,0,0
296,28583,-1,0,0,0,0
297,28584,-1,0,0,0,0
298,28585,-1,0,0,0,0
299,28683,0,0,0,1,0
301,28810,0,0,0,134217728,0
302,28880,0,0,0,-1996488704,0
303,29166,0,0,0,1073741826,0
304,29170,0,134217728,0,-2147483648,0
310,29354,0,2,0,0,0
325,30238,0,134217728,0,0,0
326,30515,2,0,0,0,0
327,30519,2,0,0,0,0
328,30604,0,134217728,0,0,0
329,30980,0,0,0,536870912,0
330,30986,0,0,0,536870912,0
333,31606,0,1073742079,0,0,0
334,31629,0,0,0,2097152,0
339,31808,0,0,0,134217728,0
340,31810,0,0,0,134217728,0
341,31811,0,0,0,134217728,0
345,31815,0,0,0,134217728,0
349,32125,0,134217728,0,-2147483648,0
354,32546,0,134217728,0,-2147483648,0
359,32592,0,0,0,134217728,0
360,32606,0,2,0,0,0
361,32618,0,1073741824,0,0,0
362,32717,0,0,0,1073741824,0
363,32756,0,-805248769,0,0,0
364,32765,-1,0,0,0,0
365,32766,-1,0,0,0,0
366,32864,0,0,0,536870912,0
368,32926,0,0,0,134217728,0
377,33076,0,0,0,-2013265920,0
378,33095,0,2,0,0,0
407,33325,0,0,0,134217728,0
410,33619,0,134217728,0,0,0
413,33763,0,1073741845,4,2,0
415,33786,0,0,0,1073741826,0
423,33943,0,1073741826,0,0,0
424,34071,0,0,0,1,0
425,34105,0,0,0,131072,0
426,34110,0,0,0,134217728,0
427,34119,0,134217728,0,-2147483648,0
432,34433,0,0,0,134217728,0
435,34630,0,0,0,134217728,0
436,34861,0,134217728,0,-2147483648,0
437,34906,0,1073741824,0,0,0
442,35353,0,0,0,65536,0
443,35395,-1,0,0,0,0
444,35460,0,0,0,134217728,0
449,35740,0,134217728,0,0,0
450,35749,0,0,0,134217728,0
456,36314,0,0,0,134217728,0
465,37196,0,134217728,0,-2147483648,0
466,37298,0,0,0,144,0
467,37299,0,0,0,1,0
468,37306,0,0,0,144,0
469,37309,0,0,0,144,0
470,37310,0,0,0,144,0
471,37311,0,0,0,1,0
472,37367,0,0,0,134217728,0
473,37382,0,134217728,0,-2147483648,0
474,37501,0,134217728,0,-2147483648,0
475,37515,0,0,0,134217728,0
476,37517,0,0,0,134217728,0
477,37529,0,0,0,134217728,0
478,37539,0,0,0,134217728,0
481,38082,0,0,0,134217728,0
482,38157,0,1073741826,0,0,0
483,38162,0,2,0,1073741824,0
485,38324,0,1073741824,0,2,0
486,38326,0,1073741824,0,0,0
487,38327,0,1073741824,0,0,0
488,38333,0,1073741824,0,0,0
