ID,Name_lang,Shortcut_lang,Flags,FactionGroup,Ruleset
1,General - %s,General,1572875,0,0
2,Trade - %s,Trade,1048635,0,0
22,LocalDefense - %s,LocalDefense,1114123,0,0
26,LookingForGroup,LookingForGroup,262152,0,0
27,BigfootWorldChannel,BigfootWorldChannel,8,0,0
28,MeetingStone,MeetingStone,8,0,0
32,Newcomer Chat,NewcomerChat,14680072,0,1
33,zzOLD Shadowlands Beta Discussion,ShadowlandsBetaDiscussion,2097160,0,0
34,zzOLD Shadowlands PTR Discussion,ShadowlandsPTRDiscussion,2097160,0,2
35,War Within Test Discussion,WarWithinTestDiscussion,6291465,0,0
36,Chromie Time - Cataclysm,ChromieTime,2097160,0,2
37,Chromie Time - Burning Crusade,ChromieTime,2097160,0,2
38,Chromie Time - Wrath of the Lich King,ChromieTime,2097160,0,2
39,Chromie Time - Mists of Pandaria,ChromieTime,2097160,0,2
40,Chromie Time - Warlords of Draenor,ChromieTime,2097160,0,2
41,Chromie Time - Legion,ChromieTime,2097160,0,2
42,Trade (Services) - %s,Services,34603067,0,0
