ID,Name_lang,Description_lang,Cooldown,Duration,Flags,SchoolMask,IconFileDataID
1,DNT JasonTest Envirospell,,2,1,0,0,0
2,DNT JasonTest Ability Spell,"DNT Test test  Effect 0 Attack points $s0, Effect 1 Attack points % $s1, Effect 2 Flat points $s2, Effect 3 Flat points % $s3",4,2,1,0,461809
3,DNT Owen Test Double Effect,,3,0,0,0,0
4,Double Strike,"Nadjia strikes the closest enemy twice, dealing a $s1 and then $s2 Physical damage.",3,0,0,1,333546
5,Wing Sweep,"Draven sweeps his wings, dealing $s1 Physical damage to all enemies.",1,0,0,1,2103875
6,Blood Explosion,"Theotar pulses with shadow, dealing $s1 Shadow damage to all enemies at range.",2,0,0,32,136118
7,Skeleton Smash,Deals $s1 Physical damage to the closest enemy.,2,1,0,32,3386321
8,Hawk Punch,"Eli strikes as swiftly as a hawk, dealing damage to the closest enemy.",1,0,0,8,132188
9,Healing Howl,Heal all allies for $s1% of their maximum health.,4,0,0,64,1033494
10,Starbranch Crush,"Smashes the closest enemy for $s1% of their maximum hit points. Each turn, heals for $s3% of maximum health and deals $s2% maximum health Frost damage to all enemies.",3,3,0,16,514019
11,Auto Attack,Deal attack damage to the closest enemy.,0,0,0,1,1064261
12,Bone Reconstruction,Heals all allies for $s1.,1,1,0,32,136230
13,Gentle Caress,,0,0,0,8,132125
14,Spirit's Caress,Anjali heals all allies for $s1.,3,0,0,32,132993
15,Auto Attack,Deal damage to an enemy at range.,0,0,0,1,135490
16,Soulshatter,"Thela rips a memory from the farthest enemy, dealing $s1 Shadow damage.",1,0,0,32,2065625
17,Gravedirt Special,"Dug tosses a shovelful of Grave Dirt at all enemies, dealing $s1 Frost damage and healing himself for $s2.",0,0,0,16,134436
18,Wings of Fury,"Nerith strikes all enemies in melee range three times, each strike dealing $s1 Shadow damage.",4,0,0,32,2103919
19,Searing Bite,"Bite the closest enemy with jaws of flame, dealing $s1 Fire damage.",4,0,0,4,236167
20,Huck Stone,Stonehuck hurls a Sinstone which shatters and deals $s1 Physical damage to all enemies at range.,1,0,0,1,236399
21,Spirits of Rejuvenation,Kaletar heals all allies for $s1.,4,4,0,1,1022944
