OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,Multicraft grants up to $ev1% extra potions.,24833,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24834,0,0,0,0
,,Learn $@spellname370668.,24835,370668,0,0,0
,,+$ev1% $en1 when making potions.,24836,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24837,0,0,0,0
Batch Production,,"Master the art of producing potions more efficiently, gaining +$ev1 $en1 per point in this specialization.",24838,0,4624378,0,0
,,Learn $@spellname370745 which yields potions of a higher quality and increases your chance at discovering new recipes.,24839,370745,0,0,0
,,Gain 5% Breakthrough chance with Potion Experimentation.,24840,0,0,0,0
,,"Whenever you achieve a major breakthrough in Potion Experimentation, gain +20 Ingenuity for 4 hours for all Alchemy crafts.",24841,0,0,0,0
,,Gain 5% Breakthrough chance with Potion Experimentation.,24842,0,0,0,0
,,Gain 10% Breakthrough chance with Potion Experimentation.,24843,0,0,0,0
Potion Experimentation,,"Gain a better understanding of your reagents to improve the likelihood of your experiments yielding satisfying results, gaining +1% increased chance at breakthroughs with Potion Experimentation per point in this specialization.",24844,0,4624379,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting potion cauldrons and Alacritous Alchemist Stones.,24845,370735,0,0,0
,,Learn the final sub-specialization.,24846,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24847,0,0,0,0
,,Learn a sub-specialization of your choice.,24848,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24849,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24850,0,0,0,0
Potion Lore,,"Delve further into the mysteries of potions and related alchemist stones, gaining +$ev1 $en1 per point in this specialization.",24851,0,4624657,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Air-formulated potions.,24852,370735,0,0,0
,,+$ev1 $en1 when crafting Air-formulated potions.,24853,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated potions.,24854,0,0,0,0
,,The movement speed granted by consuming Dragon Isles potions is increased.,24855,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated potions.,24856,0,0,0,0
,,+$ev1 $en1 when crafting Air-formulated potions.,24857,0,0,0,0
,,Consuming a Dragon Isles potion will grant a brief burst of movement speed.,24858,0,0,0,0
Air-Formulated Potions,,"Improve at crafting potions with Rousing or Awakened Air as a base reagent, gaining +$ev1 $en1 per point in this specialization.",24859,0,4497566,0,0
,,Learn to craft and use the $@spellname370735 Finishing Reagent to improve Skill when crafting Frost-formulated potions.,24860,370735,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated potions.,24861,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated potions.,24862,0,0,0,0
,,The heal granted by consuming Dragon Isles potions is increased.,24863,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated potions.,24864,0,0,0,0
,,+$ev1 $en1 when crafting Frost-formulated potions.,24865,0,0,0,0
,,Consuming a Dragon Isles potion will heal a portion of your health over time.,24866,0,0,0,0
Frost-Formulated Potions,,"Improve at crafting potions with Rousing or Awakened Frost as a base reagent, gaining +$ev1 $en1 per point in this specialization.",24867,0,4497591,0,0
,,Learn the final sub-specialization.|n|nLearn to use Catalyst Finishing Reagents with recipes for potions and the Alacritous Alchemist Stone.,24868,0,0,0,0
,,+$ev1 $en1 when crafting potions.,24869,0,0,0,0
,,Learn a sub-specialization of your choice.,24870,0,0,0,0
,,Reclaiming Potions grants additional Alchemical Solution.,24871,0,0,0,0
