ID,Geoset[0],Geoset[1],Geoset[2],Geoset[3],Geoset[4],RaceID,SexID,VariationID
2,1,2,1,-1,-1,1,0,1
3,1,2,1,-1,-1,1,0,2
4,2,1,2,-1,-1,1,0,3
5,2,2,2,-1,-1,1,0,4
6,1,2,2,-1,-1,1,0,5
7,2,2,1,-1,-1,1,0,6
8,1,2,1,-1,-1,1,0,7
11,2,2,2,-1,-1,3,0,0
12,0,0,0,-1,-1,6,0,0
13,2,2,2,-1,-1,6,0,1
14,3,3,3,-1,-1,6,0,2
15,3,3,3,-1,-1,3,0,1
16,4,4,4,-1,-1,3,0,2
17,5,5,5,-1,-1,3,0,3
18,6,6,6,-1,-1,3,0,4
19,1,1,1,-1,2,4,0,0
20,2,2,2,-1,2,4,0,1
21,3,3,3,-1,2,4,0,2
22,4,4,4,-1,2,4,0,3
23,5,5,5,-1,2,4,0,4
24,6,6,2,-1,2,4,0,5
25,0,0,0,-1,-1,2,0,0
29,0,0,0,-1,-1,3,1,0
30,0,0,0,-1,2,4,1,0
32,4,4,4,-1,-1,6,0,3
33,5,5,5,-1,-1,6,0,4
34,6,6,6,-1,-1,6,0,5
37,1,1,1,-1,-1,1,0,8
38,7,7,7,-1,-1,3,0,5
39,8,8,8,-1,-1,3,0,6
40,9,9,9,-1,-1,3,0,7
41,10,10,10,-1,-1,3,0,8
42,11,11,11,-1,-1,3,0,9
43,12,12,12,-1,-1,3,0,10
45,0,0,0,-1,-1,2,0,1
46,2,0,0,-1,-1,2,0,2
47,3,0,0,-1,-1,2,0,3
48,4,0,0,-1,-1,2,0,4
49,5,0,0,-1,-1,2,0,5
50,6,0,0,-1,-1,2,0,6
51,7,0,0,-1,-1,2,0,7
52,8,0,0,-1,-1,2,0,8
53,9,0,0,-1,-1,2,0,9
54,10,0,0,-1,-1,2,0,10
56,0,0,0,-1,2,4,1,1
57,0,0,0,-1,2,4,1,2
58,0,0,0,-1,2,4,1,3
59,0,0,0,-1,2,4,1,4
60,0,0,0,-1,2,4,1,5
61,0,0,0,-1,2,4,1,6
62,0,0,0,-1,2,4,1,7
63,0,0,0,-1,2,4,1,8
64,0,0,0,-1,2,4,1,9
66,7,7,7,-1,-1,6,0,6
69,0,0,0,-1,-1,7,0,0
71,0,4,0,-1,-1,8,0,2
95,2,0,0,-1,-1,7,0,1
96,3,0,0,-1,-1,7,0,2
97,4,0,0,-1,-1,7,0,3
98,5,0,0,-1,-1,7,0,4
99,6,0,0,-1,-1,7,0,5
100,7,0,0,-1,-1,7,0,6
101,8,0,0,-1,-1,7,0,7
104,0,0,0,-1,-1,7,1,0
114,1,1,1,-1,-1,1,0,0
153,0,0,0,-1,-1,5,1,2
211,0,0,0,-1,-1,5,1,5
213,0,0,0,-1,-1,1,1,0
221,0,2,0,-1,-1,8,1,0
222,0,3,0,-1,-1,8,1,1
223,0,4,0,-1,-1,8,1,2
224,0,5,0,-1,-1,8,1,3
225,0,6,0,-1,-1,8,1,4
228,0,0,0,-1,-1,2,1,0
231,0,0,0,-1,2,5,1,0
232,0,0,0,-1,2,5,1,1
233,0,0,0,-1,2,5,1,3
234,0,0,0,-1,2,5,1,4
235,0,0,0,-1,2,5,1,6
236,0,0,0,-1,2,5,1,7
237,2,0,0,-1,2,5,0,0
238,2,0,0,-1,2,5,0,1
239,2,0,0,-1,-1,5,0,2
240,3,0,0,-1,-1,5,0,3
241,4,0,0,-1,-1,5,0,4
242,2,0,0,-1,2,5,0,5
