ID,PathID,Sequence,PropertyIndex,Value
6647,3032,1,2,0
6648,3032,2,2,0
6649,3032,3,2,0
6650,3032,4,2,0
6651,3032,5,2,0
6652,3032,6,2,0
6653,3036,1,2,0
6654,3036,2,2,0
6655,3036,3,2,0
6656,3036,4,2,0
6657,3036,5,2,0
6658,3036,6,2,0
6659,3036,7,2,0
6660,3036,8,2,0
6661,3036,9,2,0
6662,3036,10,2,0
6663,3036,11,2,0
6664,3036,12,2,0
6665,3036,13,2,0
6666,3036,14,2,0
6667,3036,15,2,0
6668,3036,16,2,0
6669,3036,17,2,0
6670,3036,18,2,0
6671,3036,19,2,0
6672,3036,20,2,0
6673,3036,21,2,0
6674,3036,22,2,0
6675,3036,23,2,0
6676,3036,24,2,0
6677,3038,1,3,0
6678,3038,2,3,0
6679,3038,3,3,0
6680,3038,4,3,0
6681,3039,1,3,0
6682,3039,2,3,0
6683,3039,3,3,0
6684,3039,4,3,0
6685,3040,1,3,0
6686,3040,2,3,0
6687,3040,3,3,0
6688,3041,1,3,0
6689,3041,2,3,0
6690,3041,3,3,0
6691,3042,1,3,0
6692,3042,2,3,0
6693,3042,3,3,0
6694,3042,4,3,0
6695,3042,5,3,0
6696,3043,1,3,0
6697,3043,2,3,0
6698,3043,3,3,0
6699,3043,4,3,0
6700,3044,1,2,0
6701,3044,2,2,0
6702,3044,3,2,0
6703,3044,4,2,0
6704,3044,5,2,0
6705,3044,6,2,0
6711,3046,1,3,0
6712,3046,2,3,0
6713,3046,3,3,0
6714,3047,1,2,0
6716,3032,1,5,1000
6717,3032,2,5,1000
6718,3032,3,5,1000
6719,3032,4,5,1000
6720,3032,5,5,1000
6721,3032,6,5,1000
6722,3036,1,5,1000
6723,3036,2,5,1000
6724,3036,3,5,1000
6725,3036,4,5,1000
6726,3036,5,5,1000
6727,3036,6,5,1000
6728,3036,7,5,1000
6729,3036,8,5,1000
6730,3036,9,5,1000
6731,3036,10,5,2000
6732,3036,11,5,2000
6733,3036,12,5,1000
6734,3036,13,5,1000
6735,3036,14,5,1000
6736,3036,15,5,500
6737,3036,16,5,500
6738,3036,17,5,500
6739,3036,18,5,500
6740,3036,19,5,500
6741,3036,20,5,500
6742,3036,21,5,1000
6743,3036,22,5,1000
6744,3036,23,5,2000
6745,3036,24,5,700
6746,3038,1,6,0
6747,3038,2,6,0
6748,3038,3,6,0
6749,3038,4,6,0
6750,3039,1,6,0
6751,3039,2,6,0
6752,3039,3,6,0
6753,3039,4,6,0
6754,3040,1,6,0
6755,3040,2,6,0
6756,3040,3,6,0
6757,3041,1,6,0
6758,3041,2,6,0
6759,3041,3,6,0
6760,3042,1,6,0
6761,3042,2,6,0
6762,3042,3,6,0
6763,3042,4,6,0
6764,3042,5,6,0
6765,3043,1,6,0
6766,3043,2,6,0
6767,3043,3,6,0
6768,3043,4,6,0
6769,3044,1,5,1000
6770,3044,2,5,1000
6771,3044,3,5,2000
6772,3044,4,5,1000
6773,3044,5,5,1000
6774,3044,6,5,3000
6775,3045,1,6,0
6776,3045,2,6,0
6777,3045,3,6,0
6778,3045,4,6,0
6779,3045,5,6,0
6780,3046,1,6,0
6781,3046,2,6,0
6782,3046,3,6,0
6783,3047,1,5,1000
6785,3045,6,6,0
6786,3049,1,3,0
6787,3049,1,6,0
6788,3049,2,3,0
6789,3049,2,6,0
6790,3049,3,3,0
6791,3049,3,6,0
6792,3049,4,3,0
6793,3049,4,6,0
6794,3049,5,3,0
6795,3049,5,6,0
6796,3049,6,3,0
6797,3049,6,6,0
6798,3049,7,3,0
6799,3049,7,6,0
6800,3049,8,3,0
6801,3049,8,6,0
6802,3050,1,3,0
6803,3050,1,6,0
6804,3050,2,3,0
6805,3050,2,6,0
6806,3050,3,3,0
6807,3050,3,6,0
6808,3050,4,3,0
6809,3050,4,6,0
6810,3050,5,3,0
6811,3050,5,6,0
6812,3050,6,3,0
6813,3050,6,6,0
6814,3050,7,3,0
