ID,PrimaryColor,SecondaryColor,Duration,Value,FadeInTime,FadeOutTime,AttachPos,Flags,InnerStrength,OuterStrength,InitialDelay,CurveID,Priority
59,-43008,-378,0,1,0.25,0.5,-1,0,1,1,0,0,0
61,-10496,-56320,0,1,0.25,0.5,-1,1,1,1,0,106,0
68,-16763590,-16735745,10,1,0,0,19,0,1,1,0,0,0
74,-16730881,-16769025,0.5,1,0.1,0.2,2,1,1,1,0,106,0
75,-16730881,-16769025,0.5,1,0.1,0.2,1,1,1,1,0,106,0
77,-16730881,-16769025,0.5,1,0.1,0.2,2,1,1,1,0,0,0
78,-16730881,-16769025,0.5,1,0.1,0.2,1,1,1,1,0,0,0
93,-10496,0,0,1,1,1,-1,0,1,1,0,0,0
94,-7647833,-11915084,0,0.75,1,1,11,0,1,1,0,0,0
96,-13145088,0,0.35,0.9,0,0.15,2,0,1,1,0,0,0
97,-13145088,0,0.35,0.6,0,0.15,1,0,1,1,0,0,0
98,-10223813,-7209173,0.2,1,0.1,0,-1,0,1,1,0,0,0
104,-11735254,-2021336,0,1,0.5,0.5,1,1,1,1,0,0,0
105,-9277516,-14213807,0.5,0.8,0,1,-1,1,1,1,0,106,0
112,0,0,0,0,0,0,-1,1,0.23123123,0.23123123,0,0,0
113,0,0,0,0,0,0,-1,0,1,1,0,0,0
114,-2408384,-1726159,0,1,0,0,-1,0,0.3,1,0,0,0
123,-9277516,-14213807,0.5,0.8,0,1,-1,1,1,1,0,106,0
125,-11458855,-2087124,0,1,0.25,0.25,-1,1,1,1,0,0,0
136,-16716545,-16727130,0.3,1,0.15,0.3,2,1,1,1,0,0,0
138,-16716545,-16727130,0.3,1,0.15,0.3,1,1,1,1,0,0,0
142,-210689,-2930177,4,0.25,0,1,-1,1,1,1,0,0,0
144,-278017,-3462657,0,0.25,1.75,0,-1,1,1,1,0,0,0
145,-5297153,0,0,0.75,0,0.25,-1,0,1,1,0,0,0
150,-3149782,0,0.6,1,0,0.2,1,0,1,1,0,106,0
151,-1971432,0,0.6,1,0,0.2,2,0,1,1,0,106,0
165,-16777216,-16747521,0,1,0,1,-1,1,0.8,0.2,0,106,0
166,-16742657,0,0,0.35,0.2,0.2,1,0,1,1,0,106,0
167,-16744449,0,1.5,0.7,1.3,0.2,1,0,1,1,0,0,0
180,0,-15500535,0,1,1,1,-1,1,0.8,0.2,0,0,0
181,0,-12120711,0,0.3,0,2,-1,1,1,1,0,0,0
186,0,-7715922,0,0.5,1,1,-1,1,0.9,0.1,0,0,0
187,-16777216,-459008,0,1,1,1,-1,1,0.75,0.3,0,0,0
188,0,-2150461,0,0.5,1,1,-1,1,0.9,0.2,0,0,0
189,-1,-16760321,0,0.5,0.35,0.25,-1,1,0,1,0,0,0
190,-1,-16896,0,0.5,0.35,0.25,-1,1,0,1,0,0,0
191,-8927745,-14586625,0.2,1,0,0.5,1,1,1,1,0,0,0
192,-8927745,-14586625,0.2,1,0,0.5,2,1,1,1,0,0,0
196,0,-13762816,0,1,1,1,-1,1,0.6,0.3,0,0,0
197,-11235683,-16732929,0.6,0.2,0,0,1,0,1,1,0,106,0
198,-16777216,-16744705,0,1,0.1,0.2,1,1,0,0,0,0,0
199,-16777216,-16744705,0,1,0.1,0.2,2,1,0,0,0,0,0
202,-16777216,-459008,0,1,1,1,-1,1,0.75,0.3,0,0,0
203,0,-11802048,0,0.5,1,1,-1,1,1,1,0,0,0
205,-15686398,0,0.5,0.9,0,0.25,2,0,1,1,0,0,0
206,-15686398,0,0.5,0.9,0,0.25,1,0,1,1,0,0,0
208,-16153933,0,0,0.3,1,0,-1,0,1,1,0,0,0
