Name_lang,ID,Flags,UiTextureKitID,UiTextureKitElementCount,LearningCurveID
Orcish,1,0,0,0,0
Darnassian,2,0,0,0,0
Taurahe,3,0,0,0,0
Dwarvish,6,0,0,0,0
Common,7,0,0,0,0
Demonic,8,0,0,0,0
Titan,9,0,0,0,0
Thalassian,10,0,0,0,0
Draconic,11,0,0,0,0
Kalimag,12,0,0,0,0
Gnomish,13,0,0,0,0
Zandali,14,0,0,0,0
Forsaken,33,0,0,0,0
Draenei,35,0,0,0,0
Zombie,36,0,0,0,0
Gnomish Binary,37,0,0,0,0
Goblin Binary,38,0,0,0,0
Gilnean,39,0,0,0,0
Goblin,40,0,0,0,0
Pandaren,42,0,0,0,0
Pandaren,43,0,0,0,0
Pandaren,44,0,0,0,0
Rikkitun,168,0,0,0,0
