ID,CreatureFamilyID,UiModelSceneID
1,151,749
2,130,751
3,24,753
4,26,754
5,5,760
6,298,762
7,2,763
8,43,764
9,299,765
10,8,766
11,6,767
12,39,768
13,138,769
14,30,770
15,160,771
16,9,773
17,129,774
18,68,775
19,288,778
20,300,779
21,51,780
22,37,781
23,157,782
24,11,783
25,34,784
26,150,785
27,127,787
28,156,788
29,20,789
30,35,790
31,55,793
32,46,794
33,33,795
34,128,796
35,12,797
36,291,798
37,21,800
38,32,801
39,44,802
40,125,803
41,27,804
42,45,805
43,41,806
44,4,807
45,53,808
46,296,809
47,38,810
48,52,812
49,25,813
50,1,815
51,50,816
52,7,817
53,154,818
54,31,819
55,3,820
56,42,837
57,292,841
58,126,850
59,290,860
