ID,SkillLineID,TraitTreeID,Variant
2,798,793,0
7,2810,872,0
8,804,795,0
9,796,750,0
10,795,774,0
21,921,852,0
23,924,786,0
24,2823,239,1
25,2823,276,2
26,2823,240,3
27,2830,377,0
28,2830,350,1
29,2830,348,2
30,2822,305,0
31,2822,469,3
32,2822,302,1
33,2822,303,2
34,2830,376,3
35,2829,354,1
36,2829,353,2
37,2829,355,3
38,2829,352,4
39,800,790,0
40,904,658,0
41,2828,407,1
42,2828,478,2
43,2828,408,3
44,840,850,0
45,2834,403,0
46,2834,404,1
47,2834,405,2
48,2827,560,1
49,2827,557,2
50,2827,558,3
51,2827,559,4
52,2831,444,0
53,2831,445,1
54,2831,446,2
55,2831,448,3
56,849,720,0
57,829,1000,0
58,2833,601,1
59,2833,602,2
60,2833,603,3
61,1848,854,0
67,2832,642,0
68,2832,641,1
69,2832,640,2
70,2825,673,0
71,2825,698,1
72,2825,699,2
76,2877,903,1
77,2877,904,2
78,2877,905,0
84,2882,919,1
85,2882,920,2
86,2882,921,0
88,2880,935,3
89,2880,937,0
90,2880,938,1
91,2880,939,2
92,2879,950,0
93,2879,946,1
94,2879,951,2
103,2871,961,0
104,2871,960,1
105,2871,962,2
106,2871,963,3
107,2872,965,3
108,2872,966,0
109,2872,971,1
110,2872,969,2
111,2878,1008,3
112,2878,1003,2
113,2878,1004,0
114,2878,1005,1
115,2874,979,3
116,2874,978,1
117,2874,981,0
118,2874,980,2
119,2881,982,0
120,2881,983,1
121,2881,984,2
122,2883,987,1
123,2883,1007,0
124,2875,994,0
125,2875,995,1
126,2875,996,2
127,2883,998,2
128,2883,999,3
