ID,FileDataID,OverlayFileDataID,MovieID
33,21,0,1
122,455943,0,21
124,451827,0,22
126,455941,0,23
136,457507,0,18
141,455943,0,32
143,451827,0,33
151,458395,0,14
251,576813,0,73
254,576815,0,74
255,576817,0,75
257,576958,0,76
310,644049,0,115
312,644125,0,116
314,644130,0,117
316,644132,0,118
318,644140,0,119
320,644142,0,120
326,654948,0,121
329,644125,0,123
342,668415,0,127
343,668417,0,128
370,916404,0,152
372,916406,0,151
397,1005722,0,16
402,1005721,0,2
404,1005723,0,27
405,1014206,0,2
406,1014207,0,27
407,1014210,0,14
408,1014205,0,16
409,1014208,0,18
410,1014204,0,21
411,1014216,0,22
412,1014211,0,23
413,1014204,0,32
414,1014216,0,33
415,1014212,0,73
416,1014213,0,74
417,1014214,0,75
418,1014215,0,76
419,1014209,0,115
420,1014196,0,116
421,1014197,0,117
422,1014200,0,119
423,1014201,0,120
424,1014199,0,121
425,1014196,0,123
426,1014195,0,127
427,1014198,0,128
428,1014203,0,151
429,1014202,0,152
460,1068348,0,192
461,1068349,0,192
462,1068350,0,192
463,1068459,0,193
464,1068460,0,193
465,1068461,0,193
466,1068462,0,194
467,1068463,0,194
468,1068464,0,194
478,1068465,0,190
479,1068466,0,190
480,1068467,0,190
481,1068471,0,191
482,1068472,0,191
483,1068473,0,191
484,1068502,0,167
485,1068503,0,167
486,1068501,0,167
487,1068492,0,168
488,1068493,0,168
489,1068494,0,168
490,1068496,0,177
491,1068497,0,177
492,1068495,0,177
493,1068496,0,178
494,1068497,0,178
495,1068495,0,178
496,1068488,0,185
497,1068487,0,185
498,1068486,0,185
499,1068490,0,187
500,1068491,0,187
501,1068489,0,187
502,1068499,0,188
503,1068500,0,188
504,1068498,0,188
505,1068488,0,199
506,1068487,0,199
507,1068486,0,199
508,1068492,0,198
509,1068493,0,198
510,1068494,0,198
511,1068468,0,189
512,1068469,0,189
513,1068470,0,189
514,1068824,0,195
515,1068825,0,195
516,1068823,0,195
542,21,0,269
543,1112521,0,270
544,1112522,0,270
545,1112520,0,270
560,1137815,0,293
561,1137813,0,293
562,1137814,0,293
563,1137818,0,292
564,1137816,0,292
565,1137817,0,292
566,1139552,0,294
567,1139553,0,294
568,1139551,0,294
569,1139549,0,295
570,1139550,0,295
571,1139548,0,295
574,1140700,0,118
580,1112522,0,304
581,1112521,0,304
582,1112520,0,304
585,21,0,308
593,21,0,315
689,1467307,0,469
690,1467305,0,469
691,1467306,0,469
694,1455736,0,470
697,1467053,0,471
698,1467052,0,471
699,1467051,0,471
700,1455737,0,472
701,1465855,0,472
702,1465856,0,472
703,1467054,0,473
704,1467055,0,473
705,1467056,0,473
706,1467230,0,474
707,1467231,0,474
708,1467232,0,474
709,1467284,0,475
710,1467285,0,475
711,1467283,0,475
712,1467363,0,476
713,1467244,0,476
714,1467245,0,476
715,1467030,0,477
716,1467044,0,477
717,1467029,0,477
718,1467242,0,478
719,1467243,0,478
720,1467241,0,478
721,1445603,0,470
722,1445602,0,470
726,1506972,0,483
727,1506971,0,483
728,1506970,0,483
729,1506975,0,484
730,1506974,0,484
731,1506973,0,484
732,1507859,0,485
733,1507858,0,485
734,1507857,0,485
735,1502179,0,486
736,1502178,0,486
737,1502177,0,486
738,1507882,0,487
739,1507881,0,487
740,1507878,0,487
741,1507891,0,488
742,1507890,0,488
743,1507889,0,488
744,1507854,0,489
745,1507852,0,489
746,1507851,0,489
747,1507856,0,490
748,1507855,0,490
749,1507853,0,490
752,1467284,0,494
753,1467285,0,494
754,1467283,0,494
755,1467284,0,495
756,1467285,0,495
