ID,Display_lang,OverallQualityID,ExpansionID,MinFactionID,MinReputation,AllowableClass,RequiredLevel,RequiredSkill,RequiredSkillRank,RequiredAbility,ItemLevel,Flags[0],Flags[1],Flags[2],Flags[3],Flags[4],AllowableRaces[0],AllowableRaces[1]
25,Worn Shortsword,1,0,0,0,-1,1,0,0,0,2,0,24576,0,0,0,-1,-1
35,Bent Staff,1,0,0,0,-1,1,0,0,0,2,0,24576,0,0,0,-1,-1
36,Worn Mace,1,0,0,0,-1,1,0,0,0,2,0,24576,0,0,0,-1,-1
37,Worn Axe,1,0,0,0,-1,1,0,0,0,2,0,24576,0,0,0,-1,-1
38,Recruit's Shirt,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
39,Recruit's Pants,0,0,0,0,-1,1,0,0,0,1,0,24576,0,32,0,-1,-1
40,Recruit's Boots,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
43,Squire's Boots,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
44,Squire's Pants,0,0,0,0,-1,1,0,0,0,1,0,24576,0,32,0,-1,-1
45,Squire's Shirt,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
47,Footpad's Shoes,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
48,Footpad's Pants,0,0,0,0,-1,1,0,0,0,1,0,24576,0,32,0,-1,-1
49,Footpad's Shirt,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
51,Neophyte's Boots,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
52,Neophyte's Pants,0,0,0,0,-1,1,0,0,0,1,0,24576,0,32,0,-1,-1
53,Neophyte's Shirt,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
55,Apprentice's Boots,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
56,Apprentice's Robe,0,0,0,0,-1,1,0,0,0,1,0,24576,0,32,0,-1,-1
57,Acolyte's Robe,0,0,0,0,-1,1,0,0,0,1,0,24576,0,32,0,-1,-1
59,Acolyte's Shoes,1,0,0,0,-1,0,0,0,0,1,0,24576,0,0,0,-1,-1
60,Layered Tunic,1,0,0,0,-1,0,0,0,0,5,0,24576,0,32,0,-1,-1
