ID,SpellID,ItemID
1,302087,168036
2,0,0
3,305120,167768
4,305120,169892
5,305120,170142
6,305120,170373
7,305120,167769
8,305120,169792
9,305120,170335
10,305120,170135
11,305120,170377
12,305120,167771
13,305120,169810
14,305120,170109
15,305120,167773
16,305120,167774
17,305120,169814
18,305120,170105
19,305120,170121
20,305120,170304
21,305120,170329
22,305120,170369
23,305120,167752
24,305120,169894
25,305120,170140
26,305120,170371
27,305120,167753
28,305120,169790
29,305120,170333
30,305120,170133
31,305120,170375
32,305120,167755
33,305120,169808
34,305120,170107
35,305120,167757
36,305120,167758
37,305120,169812
38,305120,170103
39,305120,170123
40,305120,170306
41,305120,170331
42,305120,170367
43,305120,167760
44,305120,169893
45,305120,170141
46,305120,170372
47,305120,167761
48,305120,169791
49,305120,170334
50,305120,170134
51,305120,170376
52,305120,170104
53,305120,167763
54,305120,169809
55,305120,170108
56,305120,167766
57,305120,167765
58,305120,170368
59,305120,169813
60,305120,170122
61,305120,170305
62,305120,170330
63,305120,167776
64,305120,169891
65,305120,170143
66,305120,170374
67,305120,167777
68,305120,169793
69,305120,170336
70,305120,170136
71,305120,170378
72,305120,167780
73,305120,169811
74,305120,170110
75,305120,167782
76,305120,170370
77,305120,167783
78,305120,169815
79,305120,170106
80,305120,170111
81,305120,170303
82,305120,170328
83,305121,167754
84,305121,167762
85,305121,167770
86,305121,167778
87,305121,167756
88,305121,167764
89,305121,167772
90,305121,167781
91,305121,167779
92,305121,167759
93,305121,167767
94,305121,167775
95,305120,169489
96,305120,169488
97,305120,169487
98,305120,169486
