ID,BorderID,Tier,Component,FileDataID,Color
913,0,0,3,180163,0
914,0,0,4,180162,0
915,1,0,3,180197,0
916,1,0,4,180196,0
917,2,0,3,180231,0
918,2,0,4,180230,0
919,3,0,3,180265,0
920,3,0,4,180264,0
921,4,0,3,180299,0
922,4,0,4,180298,0
923,5,0,3,180333,0
924,5,0,4,180332,0
925,6,0,3,180367,0
926,6,0,4,180366,0
927,7,0,3,180375,0
928,7,0,4,180374,0
929,8,0,3,180383,0
930,8,0,4,180382,0
931,9,0,3,180391,0
932,9,0,4,180390,0
933,0,1,3,513862,0
934,0,1,4,513861,0
935,0,2,3,513726,0
936,0,2,4,513725,0
937,0,0,3,180165,1
938,0,0,4,180164,1
939,1,0,3,180199,1
940,1,0,4,180198,1
941,2,0,3,180233,1
942,2,0,4,180232,1
943,3,0,3,180267,1
944,3,0,4,180266,1
945,4,0,3,180301,1
946,4,0,4,180300,1
947,5,0,3,180335,1
948,5,0,4,180334,1
949,6,0,3,180369,1
950,6,0,4,180368,1
951,7,0,3,180377,1
952,7,0,4,180376,1
953,8,0,3,180385,1
954,8,0,4,180384,1
955,9,0,3,180393,1
956,9,0,4,180392,1
957,0,1,3,513864,1
958,0,1,4,513863,1
959,0,2,3,513728,1
960,0,2,4,513727,1
961,0,0,3,180167,2
962,0,0,4,180166,2
963,1,0,3,180201,2
964,1,0,4,180200,2
965,2,0,3,180235,2
966,2,0,4,180234,2
967,3,0,3,180269,2
968,3,0,4,180268,2
969,4,0,3,180303,2
970,4,0,4,180302,2
971,5,0,3,180337,2
972,5,0,4,180336,2
973,6,0,3,180371,2
974,6,0,4,180370,2
975,7,0,3,180379,2
976,7,0,4,180378,2
977,8,0,3,180387,2
978,8,0,4,180386,2
979,9,0,3,180395,2
980,9,0,4,180394,2
981,0,1,3,513866,2
982,0,1,4,513865,2
983,0,2,3,513730,2
984,0,2,4,513729,2
985,0,0,3,180169,3
986,0,0,4,180168,3
987,1,0,3,180203,3
988,1,0,4,180202,3
989,2,0,3,180237,3
990,2,0,4,180236,3
991,3,0,3,180271,3
992,3,0,4,180270,3
993,4,0,3,180305,3
994,4,0,4,180304,3
995,5,0,3,180339,3
996,5,0,4,180338,3
997,6,0,3,180373,3
998,6,0,4,180372,3
999,7,0,3,180381,3
1000,7,0,4,180380,3
1001,8,0,3,180389,3
1002,8,0,4,180388,3
1003,9,0,3,180397,3
1004,9,0,4,180396,3
1005,0,1,3,513868,3
1006,0,1,4,513867,3
1007,0,2,3,513732,3
1008,0,2,4,513731,3
1009,0,0,3,180171,4
1010,0,0,4,180170,4
1011,1,0,3,180205,4
1012,1,0,4,180204,4
1013,2,0,3,180239,4
1014,2,0,4,180238,4
1015,3,0,3,180273,4
1016,3,0,4,180272,4
1017,4,0,3,180307,4
1018,4,0,4,180306,4
1019,5,0,3,180341,4
1020,5,0,4,180340,4
1021,0,1,3,513870,4
1022,0,1,4,513869,4
1023,0,2,3,513734,4
1024,0,2,4,513733,4
1025,0,0,3,180173,5
1026,0,0,4,180172,5
1027,1,0,3,180207,5
1028,1,0,4,180206,5
1029,2,0,3,180241,5
1030,2,0,4,180240,5
1031,3,0,3,180275,5
1032,3,0,4,180274,5
1033,4,0,3,180309,5
1034,4,0,4,180308,5
1035,5,0,3,180343,5
1036,5,0,4,180342,5
1037,0,1,3,513872,5
1038,0,1,4,513871,5
1039,0,2,3,513736,5
1040,0,2,4,513735,5
1041,0,0,3,180175,6
1042,0,0,4,180174,6
1043,1,0,3,180209,6
1044,1,0,4,180208,6
1045,2,0,3,180243,6
1046,2,0,4,180242,6
1047,3,0,3,180277,6
1048,3,0,4,180276,6
1049,4,0,3,180311,6
1050,4,0,4,180310,6
1051,5,0,3,180345,6
1052,5,0,4,180344,6
1053,0,1,3,513874,6
1054,0,1,4,513873,6
1055,0,2,3,513738,6
1056,0,2,4,513737,6
1057,0,0,3,180177,7
1058,0,0,4,180176,7
1059,1,0,3,180211,7
1060,1,0,4,180210,7
1061,2,0,3,180245,7
1062,2,0,4,180244,7
1063,3,0,3,180279,7
1064,3,0,4,180278,7
1065,4,0,3,180313,7
1066,4,0,4,180312,7
1067,5,0,3,180347,7
1068,5,0,4,180346,7
1069,0,1,3,513876,7
1070,0,1,4,513875,7
1071,0,2,3,513740,7
1072,0,2,4,513739,7
1073,0,0,3,180179,8
1074,0,0,4,180178,8
1075,1,0,3,180213,8
1076,1,0,4,180212,8
1077,2,0,3,180247,8
1078,2,0,4,180246,8
1079,3,0,3,180281,8
1080,3,0,4,180280,8
1081,4,0,3,180315,8
1082,4,0,4,180314,8
1083,5,0,3,180349,8
1084,5,0,4,180348,8
1085,0,1,3,513878,8
1086,0,1,4,513877,8
1087,0,2,3,513742,8
1088,0,2,4,513741,8
1089,0,0,3,180181,9
1090,0,0,4,180180,9
1091,1,0,3,180215,9
1092,1,0,4,180214,9
1093,2,0,3,180249,9
1094,2,0,4,180248,9
1095,3,0,3,180283,9
1096,3,0,4,180282,9
1097,4,0,3,180317,9
1098,4,0,4,180316,9
1099,5,0,3,180351,9
1100,5,0,4,180350,9
1101,0,1,3,513880,9
1102,0,1,4,513879,9
1103,0,2,3,513744,9
1104,0,2,4,513743,9
1105,0,0,3,180183,10
1106,0,0,4,180182,10
1107,1,0,3,180217,10
1108,1,0,4,180216,10
1109,2,0,3,180251,10
1110,2,0,4,180250,10
1111,3,0,3,180285,10
1112,3,0,4,180284,10
1113,4,0,3,180319,10
1114,4,0,4,180318,10
1115,5,0,3,180353,10
1116,5,0,4,180352,10
1117,0,1,3,513882,10
1118,0,1,4,513881,10
1119,0,2,3,513746,10
1120,0,2,4,513745,10
1121,0,0,3,180185,11
1122,0,0,4,180184,11
1123,1,0,3,180219,11
1124,1,0,4,180218,11
1125,2,0,3,180253,11
1126,2,0,4,180252,11
1127,3,0,3,180287,11
1128,3,0,4,180286,11
1129,4,0,3,180321,11
1130,4,0,4,180320,11
1131,5,0,3,180355,11
1132,5,0,4,180354,11
1133,0,1,3,513884,11
1134,0,1,4,513883,11
1135,0,2,3,513748,11
1136,0,2,4,513747,11
1137,0,0,3,180187,12
1138,0,0,4,180186,12
1139,1,0,3,180221,12
1140,1,0,4,180220,12
1141,2,0,3,180255,12
1142,2,0,4,180254,12
1143,3,0,3,180289,12
1144,3,0,4,180288,12
1145,4,0,3,180323,12
1146,4,0,4,180322,12
1147,5,0,3,180357,12
1148,5,0,4,180356,12
1149,0,1,3,513886,12
1150,0,1,4,513885,12
1151,0,2,3,513750,12
1152,0,2,4,513749,12
1153,0,0,3,180189,13
1154,0,0,4,180188,13
1155,1,0,3,180223,13
1156,1,0,4,180222,13
1157,2,0,3,180257,13
1158,2,0,4,180256,13
1159,3,0,3,180291,13
1160,3,0,4,180290,13
1161,4,0,3,180325,13
1162,4,0,4,180324,13
1163,5,0,3,180359,13
1164,5,0,4,180358,13
1165,0,1,3,513888,13
1166,0,1,4,513887,13
1167,0,2,3,513752,13
1168,0,2,4,513751,13
1169,0,0,3,180191,14
1170,0,0,4,180190,14
1171,1,0,3,180225,14
1172,1,0,4,180224,14
1173,2,0,3,180259,14
1174,2,0,4,180258,14
1175,3,0,3,180293,14
1176,3,0,4,180292,14
1177,4,0,3,180327,14
1178,4,0,4,180326,14
1179,5,0,3,180361,14
1180,5,0,4,180360,14
1181,0,1,3,513890,14
1182,0,1,4,513889,14
1183,0,2,3,513754,14
1184,0,2,4,513753,14
1185,0,0,3,180193,15
1186,0,0,4,180192,15
1187,1,0,3,180227,15
1188,1,0,4,180226,15
1189,2,0,3,180261,15
1190,2,0,4,180260,15
1191,3,0,3,180295,15
1192,3,0,4,180294,15
1193,4,0,3,180329,15
1194,4,0,4,180328,15
1195,5,0,3,180363,15
1196,5,0,4,180362,15
1197,0,1,3,513892,15
1198,0,1,4,513891,15
1199,0,2,3,513756,15
1200,0,2,4,513755,15
1201,0,0,3,180195,16
1202,0,0,4,180194,16
1203,1,0,3,180229,16
1204,1,0,4,180228,16
1205,2,0,3,180263,16
1206,2,0,4,180262,16
1207,3,0,3,180297,16
1208,3,0,4,180296,16
1209,4,0,3,180331,16
1210,4,0,4,180330,16
1211,5,0,3,180365,16
1212,5,0,4,180364,16
1213,0,1,3,513894,16
1214,0,1,4,513893,16
1215,0,2,3,513758,16
1216,0,2,4,513757,16
1829,1,1,3,513862,0
1830,2,1,3,513862,0
1831,3,1,3,513862,0
1832,4,1,3,513862,0
1833,5,1,3,513862,0
1834,6,1,3,513862,0
1835,7,1,3,513862,0
1836,8,1,3,513862,0
1837,9,1,3,513862,0
1838,1,1,4,513861,0
1839,2,1,4,513861,0
1840,3,1,4,513861,0
