ID,FlowDirection,FlowSpeed,LiquidTypeID,Fishable,Reflection
5921,0,0,5,1,0
5922,0,0,5,1,0
5923,0,0,5,1,0
5924,0,0,5,1,0
5925,0,0,5,1,0
5926,0,0,5,1,0
5927,0,0,5,1,0
5928,0,0,5,1,0
5929,0,0,5,1,0
5930,0,0,5,1,0
5931,0,0,5,1,0
5932,0,0,5,1,0
5933,0,0,5,1,0
5934,0,0,5,1,0
5935,0,0,5,1,0
5936,0,0,5,1,0
5937,0,0,5,1,0
5938,0,0,5,1,0
5939,0,0,5,1,0
5940,0,0,5,1,0
5941,0,0,7,1,0
5942,0,0,7,1,0
5943,0,0,7,1,0
5944,0,0,7,1,0
5945,0,0,7,1,0
5947,0,0,5,1,0
5948,0,0,5,1,0
5949,0,0,5,1,0
5950,0,0,5,1,0
5951,0,0,5,1,0
5952,0,0,5,1,0
5953,0,0,5,1,0
5954,0,0,5,1,0
5955,0,0,5,1,0
5956,0,0,5,1,0
5957,0,0,5,1,0
5958,0,0,5,1,0
5959,0,0,5,1,0
5960,0,0,5,1,0
5961,0,0,5,1,0
5962,0,0,5,1,0
5963,0,0,5,1,0
5964,0,0,5,1,0
5965,0,0,5,0,0
5966,0,0,5,1,0
5967,0,0,5,1,0
5968,0,0,5,1,0
5969,0,0,5,1,0
5970,0,0,5,1,0
5971,0,0,5,1,0
5972,0,0,5,1,0
5973,0,0,5,1,0
5974,0,0,5,1,0
5975,0,0,5,1,0
5976,0,0,5,1,0
5977,0,0,5,1,0
5978,0,0,5,1,0
5979,0,0,5,1,0
5980,0,0,5,1,0
5981,0,0,5,1,0
5982,0,0,5,0,0
5983,0,0,5,1,0
5984,0,0,5,1,0
5985,0,0,5,1,0
5986,0,0,5,1,0
5987,0,0,5,1,0
5988,0,0,5,1,0
5989,0,0,5,1,0
5990,0,0,5,1,0
5991,0,0,5,1,0
5992,0,0,5,1,0
5993,0,0,5,1,0
5994,0,0,5,1,0
5995,0,0,5,1,0
5996,0,0,5,1,0
5997,0,0,5,1,0
5998,0,0,5,1,0
5999,0,0,5,1,0
6000,0,0,5,1,0
6001,0,0,5,1,0
6002,0,0,5,1,0
6003,0,0,5,1,0
6004,0,0,5,1,0
6005,0,0,5,1,0
6006,0,0,5,1,0
6007,0,0,5,1,0
6008,0,0,5,1,0
6009,0,0,5,1,0
