ID,Value,CurrencyID[0],CurrencyID[1],CurrencyID[2],CurrencyID[3],ItemID
1,5,1813,0,0,0,181544
2,35,1813,0,0,0,181545
3,35,1813,0,0,0,181546
4,35,1813,0,0,0,181368
5,5,1813,0,0,0,181540
6,35,1813,0,0,0,181477
7,5,1813,0,0,0,181643
8,250,1813,0,0,0,183723
9,5,1813,0,0,0,181551
10,35,1813,0,0,0,181541
11,250,1813,0,0,0,181549
12,35,1813,0,0,0,181548
13,35,1813,0,0,0,181645
14,250,1813,0,0,0,181743
15,5,1813,0,0,0,181744
16,35,1813,0,0,0,181745
17,250,1813,0,0,0,181478
19,35,1813,0,0,0,181377
20,35,1813,0,0,0,181550
21,35,1813,0,0,0,184286
22,5,1813,0,0,0,181644
23,250,1813,0,0,0,181648
24,250,1813,0,0,0,181650
25,35,1813,0,0,0,181649
26,35,1813,0,0,0,181547
27,5,1813,0,0,0,181642
28,3,1813,0,0,0,183727
29,250,1813,0,0,0,181646
30,35,1813,0,0,0,181647
31,35,1813,0,0,0,181479
32,250,1813,0,0,0,181552
33,5,1813,0,0,0,184152
34,5,1813,0,0,0,184151
35,5,1813,0,0,0,184148
36,5,1813,0,0,0,184146
37,35,1813,0,0,0,184147
38,35,1813,0,0,0,184150
39,250,1813,0,0,0,184149
40,35,1813,0,0,0,184294
41,5,1813,0,0,0,184293
42,5,1813,0,0,0,184307
43,5,1813,0,0,0,184306
44,35,1813,0,0,0,184305
45,35,1813,0,0,0,181649
46,250,1813,0,0,0,184315
47,35,1813,0,0,0,184371
48,5,1813,0,0,0,184373
49,35,1813,0,0,0,184374
50,5,1813,0,0,0,184385
51,5,1813,0,0,0,184386
52,5,1813,0,0,0,184387
53,5,1813,0,0,0,184388
54,5,1813,0,0,0,184389
55,35,1813,0,0,0,184381
56,35,1813,0,0,0,184382
57,35,1813,0,0,0,184383
58,35,1813,0,0,0,184384
59,35,1813,0,0,0,184378
60,250,1813,0,0,0,184379
61,250,1813,0,0,0,184380
62,25,1813,0,0,0,183721
63,5,1813,0,0,0,184360
64,35,1813,0,0,0,184519
65,35,1813,0,0,0,184363
66,35,1813,0,0,0,184362
67,250,1813,0,0,0,184763
68,250,1813,0,0,0,184764
69,35,1813,0,0,0,184765
70,35,1813,0,0,0,184766
71,35,1813,0,0,0,184767
72,35,1813,0,0,0,184768
73,5,1813,0,0,0,184769
74,5,1813,0,0,0,184770
75,5,1813,0,0,0,184771
76,35,1813,0,0,0,184772
77,35,1813,0,0,0,184773
78,35,1813,0,0,0,184774
79,35,1813,0,0,0,184775
80,35,1813,0,0,0,184776
81,35,1813,0,0,0,184777
82,35,1813,0,0,0,186201
83,5,1813,0,0,0,186203
84,35,1813,0,0,0,186206
85,5,1813,0,0,0,186200
86,5,1813,0,0,0,186202
87,5,1813,0,0,0,186204
88,250,1813,0,0,0,186519
89,35,1813,0,0,0,186205
90,1,1931,0,0,0,186685
91,250,1813,0,0,0,187175
92,8,1931,0,0,0,187323
93,8,1931,0,0,0,187322
94,8,1931,0,0,0,187324
95,48,1931,0,0,0,187325
96,48,1931,0,0,0,187326
97,48,1931,0,0,0,187327
98,100,1931,0,0,0,187328
99,150,1931,0,0,0,187329
100,150,1931,0,0,0,187330
101,300,1931,0,0,0,187311
102,100,1931,0,0,0,187332
103,150,1931,0,0,0,187331
104,100,1931,0,0,0,187336
105,300,1931,0,0,0,187335
106,300,1931,0,0,0,187333
107,100,1931,0,0,0,187334
108,250,1813,0,0,0,187347
109,250,1813,0,0,0,187349
110,8,1931,0,0,0,187459
111,8,1931,0,0,0,187460
112,8,1931,0,0,0,187457
113,8,1931,0,0,0,187458
114,48,1931,0,0,0,187462
115,48,1931,0,0,0,187463
116,48,1931,0,0,0,187465
117,100,1931,0,0,0,187466
118,150,1931,0,0,0,187467
119,48,1931,0,0,0,187478
120,300,1931,0,0,0,187350
121,250,1813,0,0,0,187517
123,250,1813,0,0,0,188000
124,250,1813,0,0,0,188003
125,250,1813,0,0,0,188004
126,250,1813,0,0,0,188005
127,250,1813,0,0,0,188168
128,5,1813,0,0,0,189864
129,35,1813,0,0,0,189544
130,250,1813,0,0,0,189865
131,8,2105,0,0,0,198563
132,20,2105,0,0,0,198603
133,50,2105,0,0,0,198604
134,35,1813,0,0,0,202034
135,300,1931,0,0,0,210925
137,200,1931,0,0,0,211083
138,0,1931,0,0,0,211128
