ID,RaceID,ClassID,OtherFactionRaceID
1,1,1,0
2,1,2,0
3,1,4,0
4,1,5,0
5,1,8,0
6,1,9,0
7,2,1,0
8,2,3,0
9,2,4,0
11,2,7,0
12,2,9,0
13,3,1,0
14,3,2,0
15,3,3,0
16,3,5,0
18,4,1,0
19,4,3,0
20,4,4,0
23,6,1,0
24,6,3,0
26,6,7,0
27,5,1,0
28,5,4,0
29,5,5,0
30,5,8,0
31,5,9,0
32,4,5,0
45,4,11,0
46,6,11,0
47,3,4,0
48,7,1,0
49,8,1,0
50,7,4,0
51,7,8,0
52,7,9,0
53,8,4,0
54,8,3,0
55,8,5,0
56,8,7,0
57,8,8,0
877,5,2,0
887,1,3,0
888,95,3,0
889,95,4,0
891,96,3,0
892,96,4,0
893,96,7,0
898,95,1,0
899,95,8,0
900,95,11,0
901,96,1,0
903,96,11,0
905,3,7,0
919,7,5,0
920,8,9,0
921,2,8,0
